input,rows,has_loan_status,has_actual_lgd,has_installment,claim_scope
performance_reference,249380,True,True,True,contractual_proxy_using_available_status_lgd_installment_cif_macro
macro_scenarios,4,False,False,False,"ts_ecl_intervals,ts_ecl_intervals_p90_adverse_floor"
