policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u,floor_v10,tested_cvar_cap_v10
v10_cvar_decomp_floor80000_r2_i4_cap142500,baseline_high,1.12,0.48,50297.11256462429,0.0,80000.0,142500.0
v10_cvar_decomp_floor80000_r2_i4_cap142500,adverse_mid,1.4,0.55,72017.44549243659,0.0,80000.0,142500.0
v10_cvar_decomp_floor80000_r2_i4_cap142500,adverse_high,1.65,0.58,89133.57142857139,0.0,80000.0,142500.0
v10_cvar_decomp_floor80000_r2_i4_cap142500,severe_mid,1.9,0.65,114632.14285714284,0.0,80000.0,142500.0
v10_cvar_decomp_floor80000_r2_i4_cap142500,severe_high,2.2,0.7,142499.99999999994,0.0,80000.0,142500.0
v10_cvar_decomp_floor80000_r3_i1_cap375000,baseline_mid,1.0,0.45,78750.00000007874,0.0,80000.0,375000.0
v10_cvar_decomp_floor80000_r3_i1_cap375000,baseline_high,1.12,0.48,94080.00000009408,0.0,80000.0,375000.0
v10_cvar_decomp_floor80000_r3_i1_cap375000,adverse_mid,1.4,0.55,134700.41506556488,0.0,80000.0,375000.0
v10_cvar_decomp_floor80000_r3_i1_cap375000,adverse_high,1.65,0.58,164742.1273719443,0.0,80000.0,375000.0
v10_cvar_decomp_floor80000_r3_i1_cap375000,severe_mid,1.9,0.65,208766.7888137063,0.0,80000.0,375000.0
v10_cvar_decomp_floor80000_r3_i1_cap375000,severe_high,2.2,0.7,255925.1396198616,47158.35080615588,80000.0,375000.0
v10_cvar_decomp_floor80000_r3_i2_cap262500,baseline_mid,1.0,0.45,78750.00000007874,0.0,80000.0,262500.0
v10_cvar_decomp_floor80000_r3_i2_cap262500,baseline_high,1.12,0.48,94080.00000009408,0.0,80000.0,262500.0
v10_cvar_decomp_floor80000_r3_i2_cap262500,adverse_mid,1.4,0.55,134700.41506556488,0.0,80000.0,262500.0
v10_cvar_decomp_floor80000_r3_i2_cap262500,adverse_high,1.65,0.58,164742.1273719443,0.0,80000.0,262500.0
v10_cvar_decomp_floor80000_r3_i2_cap262500,severe_mid,1.9,0.65,208766.7888137063,0.0,80000.0,262500.0
v10_cvar_decomp_floor80000_r3_i2_cap262500,severe_high,2.2,0.7,255925.1396198616,9862.29057020688,80000.0,262500.0
v10_cvar_decomp_floor80000_r3_i3_cap206250,baseline_mid,1.0,0.45,64828.27768874775,0.0,80000.0,206250.0
v10_cvar_decomp_floor80000_r3_i3_cap206250,baseline_high,1.12,0.48,77448.18241215729,0.0,80000.0,206250.0
v10_cvar_decomp_floor80000_r3_i3_cap206250,adverse_mid,1.4,0.55,110857.79476135584,0.0,80000.0,206250.0
v10_cvar_decomp_floor80000_r3_i3_cap206250,adverse_high,1.65,0.58,134343.96493286014,0.0,80000.0,206250.0
v10_cvar_decomp_floor80000_r3_i3_cap206250,severe_mid,1.9,0.65,169186.55844155824,0.0,80000.0,206250.0
v10_cvar_decomp_floor80000_r3_i3_cap206250,severe_high,2.2,0.7,206249.99999999974,0.0,80000.0,206250.0
v10_cvar_decomp_floor80000_r3_i4_cap178125,baseline_mid,1.0,0.45,55208.013012664,0.0,80000.0,178125.0
v10_cvar_decomp_floor80000_r3_i4_cap178125,baseline_high,1.12,0.48,65955.17287912927,0.0,80000.0,178125.0
v10_cvar_decomp_floor80000_r3_i4_cap178125,adverse_mid,1.4,0.55,94413.92055983766,0.0,80000.0,178125.0
v10_cvar_decomp_floor80000_r3_i4_cap178125,adverse_high,1.65,0.58,114843.11236248496,0.0,80000.0,178125.0
v10_cvar_decomp_floor80000_r3_i4_cap178125,severe_mid,1.9,0.65,145395.03302348303,0.0,80000.0,178125.0
v10_cvar_decomp_floor80000_r3_i4_cap178125,severe_high,2.2,0.7,178124.99999999994,0.0,80000.0,178125.0
v10_cvar_decomp_floor110000_r1_i1_cap225000,baseline_mid,1.0,0.45,71666.96948002631,0.0,110000.0,225000.0
v10_cvar_decomp_floor110000_r1_i1_cap225000,baseline_high,1.12,0.48,85618.13953880475,0.0,110000.0,225000.0
v10_cvar_decomp_floor110000_r1_i1_cap225000,adverse_mid,1.4,0.55,122441.33080619115,0.0,110000.0,225000.0
v10_cvar_decomp_floor110000_r1_i1_cap225000,adverse_high,1.65,0.58,147756.7168742983,0.0,110000.0,225000.0
v10_cvar_decomp_floor110000_r1_i1_cap225000,severe_mid,1.9,0.65,185331.03896103872,0.0,110000.0,225000.0
v10_cvar_decomp_floor110000_r1_i1_cap225000,severe_high,2.2,0.7,224999.99999999974,0.0,110000.0,225000.0
v10_cvar_decomp_floor110000_r1_i3_cap191250,baseline_mid,1.0,0.45,59756.60712920492,0.0,110000.0,191250.0
v10_cvar_decomp_floor110000_r1_i3_cap191250,baseline_high,1.12,0.48,71389.22665035677,0.0,110000.0,191250.0
v10_cvar_decomp_floor110000_r1_i3_cap191250,adverse_mid,1.4,0.55,102190.19241319854,0.0,110000.0,191250.0
v10_cvar_decomp_floor110000_r1_i3_cap191250,adverse_high,1.65,0.58,123978.53636143164,0.0,110000.0,191250.0
v10_cvar_decomp_floor110000_r1_i3_cap191250,severe_mid,1.9,0.65,156519.15584415573,0.0,110000.0,191250.0
v10_cvar_decomp_floor110000_r1_i3_cap191250,severe_high,2.2,0.7,191249.9999999998,0.0,110000.0,191250.0
v10_cvar_decomp_floor110000_r1_i4_cap174375,baseline_mid,1.0,0.45,52046.799979060466,0.0,110000.0,174375.0
v10_cvar_decomp_floor110000_r1_i4_cap174375,baseline_high,1.12,0.48,62178.57704165092,0.0,110000.0,174375.0
v10_cvar_decomp_floor110000_r1_i4_cap174375,adverse_mid,1.4,0.55,89021.43551514593,0.0,110000.0,174375.0
v10_cvar_decomp_floor110000_r1_i4_cap174375,adverse_high,1.65,0.58,109815.29311422803,0.0,110000.0,174375.0
v10_cvar_decomp_floor110000_r1_i4_cap174375,severe_mid,1.9,0.65,140738.80898681903,0.0,110000.0,174375.0
v10_cvar_decomp_floor110000_r1_i4_cap174375,severe_high,2.2,0.7,174375.00000000006,0.0,110000.0,174375.0
v10_cvar_decomp_floor110000_r2_i1_cap300000,baseline_mid,1.0,0.45,78750.00000007874,0.0,110000.0,300000.0
v10_cvar_decomp_floor110000_r2_i1_cap300000,baseline_high,1.12,0.48,94080.00000009408,0.0,110000.0,300000.0
v10_cvar_decomp_floor110000_r2_i1_cap300000,adverse_mid,1.4,0.55,134700.41506556488,0.0,110000.0,300000.0
v10_cvar_decomp_floor110000_r2_i1_cap300000,adverse_high,1.65,0.58,164742.1273719443,0.0,110000.0,300000.0
v10_cvar_decomp_floor110000_r2_i1_cap300000,severe_mid,1.9,0.65,208766.7888137063,0.0,110000.0,300000.0
v10_cvar_decomp_floor110000_r2_i1_cap300000,severe_high,2.2,0.7,255925.1396198616,47158.35080615588,110000.0,300000.0
v10_cvar_decomp_floor110000_r2_i2_cap210000,baseline_mid,1.0,0.45,66180.50093911083,0.0,110000.0,210000.0
v10_cvar_decomp_floor110000_r2_i2_cap210000,baseline_high,1.12,0.48,79063.63845525772,0.0,110000.0,210000.0
v10_cvar_decomp_floor110000_r2_i2_cap210000,adverse_mid,1.4,0.55,113132.79476135586,0.0,110000.0,210000.0
v10_cvar_decomp_floor110000_r2_i2_cap210000,adverse_high,1.65,0.58,136964.32207571727,0.0,110000.0,210000.0
v10_cvar_decomp_floor110000_r2_i2_cap210000,severe_mid,1.9,0.65,172371.13636363618,0.0,110000.0,210000.0
v10_cvar_decomp_floor110000_r2_i2_cap210000,severe_high,2.2,0.7,209999.9999999998,0.0,110000.0,210000.0
v10_cvar_decomp_floor110000_r2_i4_cap187500,baseline_mid,1.0,0.45,58055.921086264185,0.0,110000.0,187500.0
v10_cvar_decomp_floor110000_r2_i4_cap187500,baseline_high,1.12,0.48,69357.47372439026,0.0,110000.0,187500.0
v10_cvar_decomp_floor110000_r2_i4_cap187500,adverse_mid,1.4,0.55,99285.61638947102,0.0,110000.0,187500.0
v10_cvar_decomp_floor110000_r2_i4_cap187500,adverse_high,1.65,0.58,120802.54719611199,0.0,110000.0,187500.0
v10_cvar_decomp_floor110000_r2_i4_cap187500,severe_mid,1.9,0.65,152994.9282531744,0.0,110000.0,187500.0
v10_cvar_decomp_floor110000_r2_i4_cap187500,severe_high,2.2,0.7,187499.99999999988,0.0,110000.0,187500.0
v10_cvar_decomp_floor110000_r3_i1_cap375000,baseline_mid,1.0,0.45,78750.00000007874,0.0,110000.0,375000.0
v10_cvar_decomp_floor110000_r3_i1_cap375000,baseline_high,1.12,0.48,94080.00000009408,0.0,110000.0,375000.0
v10_cvar_decomp_floor110000_r3_i1_cap375000,adverse_mid,1.4,0.55,134700.41506556488,0.0,110000.0,375000.0
