policy_id,risk_tolerance,gamma,alpha,confidence,policy_mode,uncertainty_aversion,shortlist_bucket,n_funded,total_allocated,realized_total_return,price_of_robustness_pct,weighted_miscoverage_V,gamma_cp,violation,weighted_pd_true,weighted_pd_high,weighted_pd_point,all_bounds_hold,ab_pass_all,is_paper1_champion,source_artifact,paper4_status
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.5,0.01,0.99,blended_uncertainty,0.05,incumbent_region,335,1000000.0,167124.6310620346,-8.934799798218227,0.04545,0.165827,0.0,0.04545,0.252914,0.087086,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.55,0.01,0.99,blended_uncertainty,0.1,incumbent_region,342,1000000.0,167069.47757462133,-7.542091912347866,0.03905,0.1533,0.0,0.03905,0.238985,0.085685,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.45,0.01,0.99,blended_uncertainty,0.1,incumbent_region,342,1000000.0,167067.29591823329,-11.206245171857809,0.042975,0.155394,0.0,0.042975,0.240467,0.085073,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.55,0.01,0.99,blended_uncertainty,0.05,incumbent_region,340,1000000.0,166969.46159398026,-7.556090578185354,0.042975,0.154754,0.0,0.042975,0.239639,0.084885,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.5,0.01,0.99,blended_uncertainty,0.05,incumbent_region,337,1000000.0,166777.3884430658,-9.012663590680416,0.043789,0.158941,0.0,0.043789,0.244471,0.085529,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.45,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,340,1000000.0,166621.64409318674,-11.236008305378432,0.041775,0.157534,0.0,0.041775,0.241643,0.08411,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.45,0.01,0.99,blended_uncertainty,0.05,conservative_proxy,338,1000000.0,166574.19464587132,-10.592777679038143,0.03645,0.186841,0.0,0.03645,0.277763,0.090921,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.45,0.01,0.99,blended_uncertainty,0.1,incumbent_region,338,1000000.0,166559.14303245154,-10.811744546113133,0.04545,0.162785,0.0,0.04545,0.249532,0.086747,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.17,0.5,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,337,1000000.0,166313.57843638843,-8.938411864153869,0.04545,0.16677,0.0,0.04545,0.253385,0.086615,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.175,0.55,0.01,0.99,blended_uncertainty,0.1,conservative_proxy,345,1000000.0,166269.82231927008,-7.585036793039396,0.030034,0.159714,0.0,0.030034,0.246871,0.087157,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
