selection_strategy,description,selected_policy_id,is_official_champion,lane1_decision,realized_total_return,delta_return_vs_official,weighted_miscoverage_V,gamma_cp,mdcp_worst_source_coverage,delta_worst_source_coverage_vs_official,satisficing_pass_rate,diagnostic_selector_rank,full_realized_return,full_coverage_alpha01,score_croms_lite_balanced,selector_decision
official_paper1_champion,fixed official champion; no Lab 4 selector can promote over this without a promotion protocol,paper1_economic_champion,True,protect_official_champion_source_caveat,170464.5429284627,0.0,0.03645,0.18591,0.5,0.0,1.0,25,173329.6634158451,0.9432835820895522,0.6468208582713227,paper1_protected_reference
diagnostic_selector_rank,retained Paper 4 diagnostic selector rank,crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,False,append_risk_pass_operational_gap,164273.35080211036,-6191.19212635234,0.041975,0.140719,0.6666666666666666,0.16666666666666663,0.8,1,157485.99601203215,0.9446064139941692,0.6005306723924795,append_tradeoff_evidence_not_promotion
return_subject_to_crc_ltt,maximize realized return among operational CRC/LTT passes,paper1_economic_champion,True,protect_official_champion_source_caveat,170464.5429284627,0.0,0.03645,0.18591,0.5,0.0,1.0,25,173329.6634158451,0.9432835820895522,0.6468208582713227,paper1_protected_reference
source_defended_return,maximize realized return among source-hardened CRC/LTT passes,crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,False,append_source_hardened_gate_pass,166621.64409318674,-3842.8988352759625,0.041775,0.157534,0.8636363636363636,0.36363636363636365,1.0,16,,,0.690837570910502,append_tradeoff_evidence_not_promotion
coverage_only_source,maximize worst source-family coverage regardless of return,crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,False,append_risk_pass_operational_gap,163847.98926196393,-6616.553666498774,0.041975,0.141562,0.8695652173913043,0.3695652173913043,0.8,10,,,0.642292279431973,append_tradeoff_evidence_not_promotion
min_gamma_cp_near_champion,minimize Gamma_CP among policies within 95% of champion return,crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,False,append_risk_pass_operational_gap,162753.66070085138,-7710.882227611321,0.040015,0.134188,0.5,0.0,0.8,21,,,0.544935312355795,append_tradeoff_evidence_not_promotion
croms_lite_balanced_score,"decision-risk selection balancing return, source coverage, Gamma_CP, V and satisficing",crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,False,append_operational_pass_source_fragile,168801.31532762162,-1663.2276008410845,0.038067,0.172713,0.75,0.25,1.0,29,,,0.7015742187131878,append_tradeoff_evidence_not_promotion
tail_return_source_proxy,"tail-aware proxy using return, mean loss and source coverage",paper1_economic_champion,True,protect_official_champion_source_caveat,170464.5429284627,0.0,0.03645,0.18591,0.5,0.0,1.0,25,173329.6634158451,0.9432835820895522,0.6468208582713227,paper1_protected_reference
