policy_id,scenario,sicr_rule_v6,contractual_ecl_v6,discounted_ead_v6,stage1_share_v6,stage2_share_v6,stage3_share_v6,realized_return_proxy_lgd45,funded_exposure,net_return_after_contractual_ecl_v6
paper4_v4_local_rt0p1700_g0p400_u0p000,optimistic,relative_2x,240896.23353135018,19566439.405667428,0.3755730189914866,0.6229535036018337,0.0014734774066797642,176309.76764157554,1000000.0,-64586.46588977464
paper4_v4_local_rt0p1700_g0p400_u0p025,optimistic,relative_2x,240896.23353135018,19566439.405667428,0.3755730189914866,0.6229535036018337,0.0014734774066797642,176309.76764157554,1000000.0,-64586.46588977464
paper4_v4_local_rt0p1700_g0p400_u0p050,optimistic,relative_2x,240896.23353135018,19566439.405667428,0.3755730189914866,0.6229535036018337,0.0014734774066797642,176309.76764157554,1000000.0,-64586.46588977464
paper4_v4_local_rt0p1700_g0p400_u0p075,optimistic,relative_2x,240896.23353135018,19566439.405667428,0.3755730189914866,0.6229535036018337,0.0014734774066797642,176309.76764157554,1000000.0,-64586.46588977464
paper4_v4_local_rt0p1700_g0p400_u0p100,optimistic,relative_2x,240896.23353135018,19566439.405667428,0.3755730189914866,0.6229535036018337,0.0014734774066797642,176309.76764157554,1000000.0,-64586.46588977464
paper4_v4_local_rt0p1700_g0p425_u0p000,optimistic,relative_2x,238411.3687871252,19519661.7010839,0.3695616617598953,0.6288845273143605,0.0015538109257441936,174567.57189288645,1000000.0,-63843.79689423874
paper4_v4_local_rt0p1700_g0p425_u0p025,optimistic,relative_2x,238016.47854047822,19540587.5,0.37108610567514677,0.6273646444879322,0.0015492498369210697,177295.43,1000000.0,-60721.04854047822
paper4_v4_local_rt0p1700_g0p425_u0p050,optimistic,relative_2x,237848.73286352152,19545795.823897824,0.3719015003261579,0.6266307893020222,0.0014677103718199608,178048.10260725138,1000000.0,-59800.630256270146
paper4_v4_local_rt0p1700_g0p425_u0p075,optimistic,relative_2x,237496.52897539487,19508525.0,0.3772622573214873,0.6211747285291214,0.0015630141493912471,173075.48672666072,1000000.0,-64421.04224873416
paper4_v4_local_rt0p1700_g0p425_u0p100,optimistic,relative_2x,237305.57756317547,19517518.774905328,0.3782494241526818,0.620187561697927,0.0015630141493912471,174404.72097666154,1000000.0,-62900.856586513924
paper4_v4_local_rt0p1700_g0p450_u0p000,optimistic,relative_2x,233324.17358931314,19527920.833333332,0.373378728923476,0.6250810635538262,0.001540207522697795,173790.71071864534,1000000.0,-59533.462870667805
