run_id,n_paths,trace_rows,runtime_seconds,rows_per_second,memory_mb_trace_parquet,bottleneck
v19_baseline_64,64,61824,450.431,137.25520667982445,5.995814,policy-path-month simulation loops
v23_scaled,128,123648,971.2741150856018,127.30494726414332,12.071435,loan event replay; cache loan/path events before 256/512
