constraint_type_v80,source_family,source_id,cap_share_v80,path_id,constraint_row_v80
cvar_path_excess,,,,99.0,152
cvar_path_excess,,,,100.0,153
cvar_path_excess,,,,101.0,154
cvar_path_excess,,,,102.0,155
cvar_path_excess,,,,103.0,156
cvar_path_excess,,,,104.0,157
cvar_path_excess,,,,105.0,158
cvar_path_excess,,,,106.0,159
cvar_path_excess,,,,107.0,160
cvar_path_excess,,,,108.0,161
cvar_path_excess,,,,109.0,162
cvar_path_excess,,,,110.0,163
cvar_path_excess,,,,111.0,164
cvar_path_excess,,,,112.0,165
cvar_path_excess,,,,113.0,166
cvar_path_excess,,,,114.0,167
cvar_path_excess,,,,115.0,168
cvar_path_excess,,,,116.0,169
cvar_path_excess,,,,117.0,170
cvar_path_excess,,,,118.0,171
cvar_path_excess,,,,119.0,172
cvar_path_excess,,,,120.0,173
cvar_path_excess,,,,121.0,174
cvar_path_excess,,,,122.0,175
cvar_path_excess,,,,123.0,176
cvar_path_excess,,,,124.0,177
cvar_path_excess,,,,125.0,178
cvar_path_excess,,,,126.0,179
cvar_path_excess,,,,127.0,180
