tier_id_v355,action_v355,loan_id,loan_amnt,grade,score_decile,income_band,dti_band,period,state_top20,mean_return_v355,observed_v47_proxy_v355,claim_boundary_v355
coverage_only_v353_cvar,add_observed_candidate,126342852,25000.0,A,0,3,1,2018,VA,465.08087779180335,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,143359641,12750.0,A,0,3,1,2018,CO,308.18374619738734,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,127209508,16800.0,A,0,3,1,2018,TX,203.15741954586753,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,156642514,8575.0,A,0,3,0,2019,WA,198.8866569286404,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,126680300,20000.0,A,0,3,0,2018,IN,189.94794259876616,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,140009023,9000.0,A,0,3,1,2018,NJ,187.90844853670094,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,126372952,13000.0,A,0,2,1,2018,OH,183.51724172868273,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,145636554,8000.0,A,0,3,1,2019,other,178.94375667846347,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,166196338,10525.0,A,0,3,0,2020,IL,176.33873346653192,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,156837349,9400.0,A,0,3,0,2019,OH,165.13252980598486,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,127341271,8000.0,A,0,3,0,2018,IL,148.82588089337708,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,126371269,15000.0,A,0,3,3,2018,IN,142.4609569490746,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,152084831,6800.0,A,0,3,0,2019,NC,141.03223600172183,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,127110325,8000.0,A,0,1,1,2018,CA,134.25332233244015,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,141276527,6000.0,A,0,3,0,2018,NC,132.9202421476267,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,150611326,6275.0,A,0,3,0,2019,other,129.64825047955017,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,136303435,6000.0,A,0,3,1,2018,other,121.99293531638878,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,125332375,10000.0,A,0,3,0,2018,MN,120.92703544396862,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,159206697,5225.0,A,0,3,1,2019,other,115.62534131143642,True,v355 coverage-only incumbent action list; not a repair recommendation
coverage_only_v353_cvar,add_observed_candidate,126422332,12000.0,A,0,3,0,2018,CO,113.96876555925958,True,v355 coverage-only incumbent action list; not a repair recommendation
