left_policy_id,right_policy_id,overlap_n,left_n,right_n,jaccard_overlap
v20_dla_endogenous_return,v20_dla_endogenous_return,75,75,75,1.0
v20_dla_endogenous_return,v13_static_reference,16,75,32,0.17582417582417584
v20_dla_endogenous_return,v13_mdcp_empirical_tight,2,75,196,0.007434944237918215
v20_dla_endogenous_return,v13_spo_regret_audit_guarded,0,75,396,0.0
v20_dla_endogenous_return,v13_fvi_capital_guarded,0,75,696,0.0
v20_dla_endogenous_return,v13_fvi_bellman_rollout,0,75,689,0.0
v20_dla_endogenous_return,v13_mdcp_empirical_base,1,75,267,0.002932551319648094
v20_dla_endogenous_return,v13_fvi_return_recovery,0,75,676,0.0
v20_dla_endogenous_return,v20_dla_endogenous_reinvestment,9,75,161,0.039647577092511016
v20_dla_endogenous_return,v13_spo_regret_return_recovery,0,75,395,0.0
v13_static_reference,v20_dla_endogenous_return,16,32,75,0.17582417582417584
v13_static_reference,v13_static_reference,32,32,32,1.0
v13_static_reference,v13_mdcp_empirical_tight,0,32,196,0.0
v13_static_reference,v13_spo_regret_audit_guarded,0,32,396,0.0
v13_static_reference,v13_fvi_capital_guarded,0,32,696,0.0
v13_static_reference,v13_fvi_bellman_rollout,0,32,689,0.0
v13_static_reference,v13_mdcp_empirical_base,0,32,267,0.0
v13_static_reference,v13_fvi_return_recovery,0,32,676,0.0
v13_static_reference,v20_dla_endogenous_reinvestment,8,32,161,0.043243243243243246
v13_static_reference,v13_spo_regret_return_recovery,0,32,395,0.0
v13_mdcp_empirical_tight,v20_dla_endogenous_return,2,196,75,0.007434944237918215
v13_mdcp_empirical_tight,v13_static_reference,0,196,32,0.0
v13_mdcp_empirical_tight,v13_mdcp_empirical_tight,196,196,196,1.0
v13_mdcp_empirical_tight,v13_spo_regret_audit_guarded,0,196,396,0.0
v13_mdcp_empirical_tight,v13_fvi_capital_guarded,7,196,696,0.007909604519774011
v13_mdcp_empirical_tight,v13_fvi_bellman_rollout,7,196,689,0.007972665148063782
v13_mdcp_empirical_tight,v13_mdcp_empirical_base,140,196,267,0.43343653250773995
v13_mdcp_empirical_tight,v13_fvi_return_recovery,8,196,676,0.009259259259259259
v13_mdcp_empirical_tight,v20_dla_endogenous_reinvestment,0,196,161,0.0
v13_mdcp_empirical_tight,v13_spo_regret_return_recovery,0,196,395,0.0
v13_spo_regret_audit_guarded,v20_dla_endogenous_return,0,396,75,0.0
v13_spo_regret_audit_guarded,v13_static_reference,0,396,32,0.0
v13_spo_regret_audit_guarded,v13_mdcp_empirical_tight,0,396,196,0.0
v13_spo_regret_audit_guarded,v13_spo_regret_audit_guarded,396,396,396,1.0
v13_spo_regret_audit_guarded,v13_fvi_capital_guarded,80,396,696,0.07905138339920949
v13_spo_regret_audit_guarded,v13_fvi_bellman_rollout,85,396,689,0.085
v13_spo_regret_audit_guarded,v13_mdcp_empirical_base,41,396,267,0.06591639871382636
v13_spo_regret_audit_guarded,v13_fvi_return_recovery,90,396,676,0.09164969450101833
v13_spo_regret_audit_guarded,v20_dla_endogenous_reinvestment,4,396,161,0.007233273056057866
v13_spo_regret_audit_guarded,v13_spo_regret_return_recovery,196,396,395,0.32941176470588235
v13_fvi_capital_guarded,v20_dla_endogenous_return,0,696,75,0.0
v13_fvi_capital_guarded,v13_static_reference,0,696,32,0.0
v13_fvi_capital_guarded,v13_mdcp_empirical_tight,7,696,196,0.007909604519774011
v13_fvi_capital_guarded,v13_spo_regret_audit_guarded,80,696,396,0.07905138339920949
v13_fvi_capital_guarded,v13_fvi_capital_guarded,696,696,696,1.0
v13_fvi_capital_guarded,v13_fvi_bellman_rollout,673,696,689,0.9452247191011236
v13_fvi_capital_guarded,v13_mdcp_empirical_base,22,696,267,0.023379383634431455
v13_fvi_capital_guarded,v13_fvi_return_recovery,634,696,676,0.8590785907859079
v13_fvi_capital_guarded,v20_dla_endogenous_reinvestment,3,696,161,0.00351288056206089
v13_fvi_capital_guarded,v13_spo_regret_return_recovery,77,696,395,0.07593688362919132
v13_fvi_bellman_rollout,v20_dla_endogenous_return,0,689,75,0.0
v13_fvi_bellman_rollout,v13_static_reference,0,689,32,0.0
v13_fvi_bellman_rollout,v13_mdcp_empirical_tight,7,689,196,0.007972665148063782
v13_fvi_bellman_rollout,v13_spo_regret_audit_guarded,85,689,396,0.085
v13_fvi_bellman_rollout,v13_fvi_capital_guarded,673,689,696,0.9452247191011236
v13_fvi_bellman_rollout,v13_fvi_bellman_rollout,689,689,689,1.0
v13_fvi_bellman_rollout,v13_mdcp_empirical_base,25,689,267,0.02685284640171858
v13_fvi_bellman_rollout,v13_fvi_return_recovery,649,689,676,0.9064245810055865
v13_fvi_bellman_rollout,v20_dla_endogenous_reinvestment,3,689,161,0.0035419126328217238
v13_fvi_bellman_rollout,v13_spo_regret_return_recovery,80,689,395,0.0796812749003984
v13_mdcp_empirical_base,v20_dla_endogenous_return,1,267,75,0.002932551319648094
v13_mdcp_empirical_base,v13_static_reference,0,267,32,0.0
v13_mdcp_empirical_base,v13_mdcp_empirical_tight,140,267,196,0.43343653250773995
v13_mdcp_empirical_base,v13_spo_regret_audit_guarded,41,267,396,0.06591639871382636
v13_mdcp_empirical_base,v13_fvi_capital_guarded,22,267,696,0.023379383634431455
v13_mdcp_empirical_base,v13_fvi_bellman_rollout,25,267,689,0.02685284640171858
v13_mdcp_empirical_base,v13_mdcp_empirical_base,267,267,267,1.0
v13_mdcp_empirical_base,v13_fvi_return_recovery,32,267,676,0.03512623490669594
v13_mdcp_empirical_base,v20_dla_endogenous_reinvestment,6,267,161,0.014218009478672985
v13_mdcp_empirical_base,v13_spo_regret_return_recovery,44,267,395,0.07119741100323625
v13_fvi_return_recovery,v20_dla_endogenous_return,0,676,75,0.0
v13_fvi_return_recovery,v13_static_reference,0,676,32,0.0
v13_fvi_return_recovery,v13_mdcp_empirical_tight,8,676,196,0.009259259259259259
v13_fvi_return_recovery,v13_spo_regret_audit_guarded,90,676,396,0.09164969450101833
v13_fvi_return_recovery,v13_fvi_capital_guarded,634,676,696,0.8590785907859079
v13_fvi_return_recovery,v13_fvi_bellman_rollout,649,676,689,0.9064245810055865
v13_fvi_return_recovery,v13_mdcp_empirical_base,32,676,267,0.03512623490669594
v13_fvi_return_recovery,v13_fvi_return_recovery,676,676,676,1.0
v13_fvi_return_recovery,v20_dla_endogenous_reinvestment,6,676,161,0.007220216606498195
v13_fvi_return_recovery,v13_spo_regret_return_recovery,86,676,395,0.08730964467005076
v20_dla_endogenous_reinvestment,v20_dla_endogenous_return,9,161,75,0.039647577092511016
v20_dla_endogenous_reinvestment,v13_static_reference,8,161,32,0.043243243243243246
v20_dla_endogenous_reinvestment,v13_mdcp_empirical_tight,0,161,196,0.0
v20_dla_endogenous_reinvestment,v13_spo_regret_audit_guarded,4,161,396,0.007233273056057866
v20_dla_endogenous_reinvestment,v13_fvi_capital_guarded,3,161,696,0.00351288056206089
v20_dla_endogenous_reinvestment,v13_fvi_bellman_rollout,3,161,689,0.0035419126328217238
v20_dla_endogenous_reinvestment,v13_mdcp_empirical_base,6,161,267,0.014218009478672985
v20_dla_endogenous_reinvestment,v13_fvi_return_recovery,6,161,676,0.007220216606498195
v20_dla_endogenous_reinvestment,v20_dla_endogenous_reinvestment,161,161,161,1.0
v20_dla_endogenous_reinvestment,v13_spo_regret_return_recovery,7,161,395,0.012750455373406194
v13_spo_regret_return_recovery,v20_dla_endogenous_return,0,395,75,0.0
v13_spo_regret_return_recovery,v13_static_reference,0,395,32,0.0
v13_spo_regret_return_recovery,v13_mdcp_empirical_tight,0,395,196,0.0
v13_spo_regret_return_recovery,v13_spo_regret_audit_guarded,196,395,396,0.32941176470588235
v13_spo_regret_return_recovery,v13_fvi_capital_guarded,77,395,696,0.07593688362919132
v13_spo_regret_return_recovery,v13_fvi_bellman_rollout,80,395,689,0.0796812749003984
v13_spo_regret_return_recovery,v13_mdcp_empirical_base,44,395,267,0.07119741100323625
v13_spo_regret_return_recovery,v13_fvi_return_recovery,86,395,676,0.08730964467005076
v13_spo_regret_return_recovery,v20_dla_endogenous_reinvestment,7,395,161,0.012750455373406194
v13_spo_regret_return_recovery,v13_spo_regret_return_recovery,395,395,395,1.0
