policy_id,scenario,mean_simulated_return,p05_simulated_return,p95_simulated_return
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,adverse,-91033.2886416081,-136333.33572902944,-49816.32676751448
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,baseline,-10783.896877883442,-54658.59840577128,32425.93591008212
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,severe,-160256.87472347234,-210554.2974382687,-114857.87452899454
paper1_economic_champion,adverse,-89527.03619229242,-137107.8423731994,-48640.953197784
paper1_economic_champion,baseline,-9540.098692173613,-53547.57309235487,33527.03424045194
paper1_economic_champion,severe,-158257.80269523567,-206420.76248224653,-113157.72034379399
paper4_v4_local_rt0p1700_g0p400_u0p000,adverse,-95658.61869610037,-145319.1149919804,-54175.36236842295
paper4_v4_local_rt0p1700_g0p400_u0p000,baseline,-13271.529996759522,-57389.19691412735,27584.536842893976
paper4_v4_local_rt0p1700_g0p400_u0p000,severe,-166341.81852951788,-215365.4721425668,-121237.62455719283
paper4_v4_local_rt0p1700_g0p400_u0p025,adverse,-95658.61869610037,-145319.1149919804,-54175.36236842295
paper4_v4_local_rt0p1700_g0p400_u0p025,baseline,-13271.529996759522,-57389.19691412735,27584.536842893976
paper4_v4_local_rt0p1700_g0p400_u0p025,severe,-166341.81852951788,-215365.4721425668,-121237.62455719283
paper4_v4_local_rt0p1700_g0p400_u0p050,adverse,-95658.61869610037,-145319.1149919804,-54175.36236842295
paper4_v4_local_rt0p1700_g0p400_u0p050,baseline,-13271.529996759522,-57389.19691412735,27584.536842893976
paper4_v4_local_rt0p1700_g0p400_u0p050,severe,-166341.81852951788,-215365.4721425668,-121237.62455719283
paper4_v4_local_rt0p1700_g0p400_u0p075,adverse,-95658.61869610037,-145319.1149919804,-54175.36236842295
paper4_v4_local_rt0p1700_g0p400_u0p075,baseline,-13271.529996759522,-57389.19691412735,27584.536842893976
paper4_v4_local_rt0p1700_g0p400_u0p075,severe,-166341.81852951788,-215365.4721425668,-121237.62455719283
paper4_v4_local_rt0p1700_g0p400_u0p100,adverse,-95658.61869610037,-145319.1149919804,-54175.36236842295
paper4_v4_local_rt0p1700_g0p400_u0p100,baseline,-13271.529996759522,-57389.19691412735,27584.536842893976
paper4_v4_local_rt0p1700_g0p400_u0p100,severe,-166341.81852951788,-215365.4721425668,-121237.62455719283
paper4_v4_local_rt0p1700_g0p425_u0p000,adverse,-90598.6392445551,-136749.68462049408,-49823.721474929655
paper4_v4_local_rt0p1700_g0p425_u0p000,baseline,-10750.15904642746,-53800.094957055924,31658.583396140893
paper4_v4_local_rt0p1700_g0p425_u0p000,severe,-159895.79265529147,-209876.07166885448,-114004.64789115381
paper4_v4_local_rt0p1700_g0p425_u0p025,adverse,-90129.17487705975,-134972.96567497417,-49155.79307923034
paper4_v4_local_rt0p1700_g0p425_u0p025,baseline,-9995.987635568568,-53389.91040653627,32062.984994329658
paper4_v4_local_rt0p1700_g0p425_u0p025,severe,-159698.9893489138,-208176.7097132584,-115107.37811549731
paper4_v4_local_rt0p1700_g0p425_u0p050,adverse,-89892.5171721951,-134247.66540461264,-49552.80661729247
paper4_v4_local_rt0p1700_g0p425_u0p050,baseline,-9656.81180606511,-52426.695033028205,32195.02028204154
paper4_v4_local_rt0p1700_g0p425_u0p050,severe,-159415.56741709693,-208534.36413148418,-115205.69067990412
paper4_v4_local_rt0p1700_g0p425_u0p075,adverse,-89478.99154292887,-134550.66531839187,-47934.22143941655
paper4_v4_local_rt0p1700_g0p425_u0p075,baseline,-9508.521465121898,-52478.130994632076,34633.58780924961
paper4_v4_local_rt0p1700_g0p425_u0p075,severe,-158083.98234519226,-207489.47321859325,-113650.13248406345
paper4_v4_local_rt0p1700_g0p425_u0p100,adverse,-88945.52033211697,-136510.29722088025,-48303.74884213669
paper4_v4_local_rt0p1700_g0p425_u0p100,baseline,-9167.483060570203,-52920.74055761119,34102.3332639512
paper4_v4_local_rt0p1700_g0p425_u0p100,severe,-157719.04354916196,-206290.43473920572,-112582.57299336916
paper4_v4_local_rt0p1700_g0p450_u0p000,adverse,-83163.16972264924,-127701.51645486563,-43587.16805210594
paper4_v4_local_rt0p1700_g0p450_u0p000,baseline,-5724.100099151356,-50046.56406989555,35564.24132779553
paper4_v4_local_rt0p1700_g0p450_u0p000,severe,-152720.7255299561,-203638.8513253664,-109217.86086073332
paper4_v4_local_rt0p1700_g0p450_u0p025,adverse,-82545.654424798,-126862.5438942985,-42292.84397199661
paper4_v4_local_rt0p1700_g0p450_u0p025,baseline,-5002.658402595757,-47966.438705526634,36088.70689592063
paper4_v4_local_rt0p1700_g0p450_u0p025,severe,-152414.7410724963,-202052.20116650325,-109231.35412727838
paper4_v4_local_rt0p1700_g0p450_u0p050,adverse,-81936.49971177596,-127423.7190155977,-41855.50984084461
paper4_v4_local_rt0p1700_g0p450_u0p050,baseline,-4518.1627441529645,-49205.60190512445,37665.32274138543
paper4_v4_local_rt0p1700_g0p450_u0p050,severe,-152225.40895246872,-201943.3291512441,-107294.9141027431
paper4_v4_local_rt0p1700_g0p450_u0p075,adverse,-81366.77438969076,-127513.7400528994,-41158.96381412448
paper4_v4_local_rt0p1700_g0p450_u0p075,baseline,-4061.258255760763,-46950.63350071093,37831.79542711478
paper4_v4_local_rt0p1700_g0p450_u0p075,severe,-150654.04317509133,-199477.77133655868,-107214.28976474429
paper4_v4_local_rt0p1700_g0p450_u0p100,adverse,-80776.56438970771,-126496.18609007423,-40658.40751920469
paper4_v4_local_rt0p1700_g0p450_u0p100,baseline,-3751.8024126679684,-48480.915490498075,37769.03048280724
paper4_v4_local_rt0p1700_g0p450_u0p100,severe,-150502.55797457875,-200621.31929308208,-107721.02022264754
paper4_v4_local_rt0p1700_g0p475_u0p000,adverse,-75801.55292054382,-120334.90239612057,-33785.63208386366
paper4_v4_local_rt0p1700_g0p475_u0p000,baseline,-968.3696456039528,-43760.078441422826,40440.98379471315
paper4_v4_local_rt0p1700_g0p475_u0p000,severe,-145958.24085020603,-193694.93926133338,-101018.83176805405
paper4_v4_local_rt0p1700_g0p475_u0p025,adverse,-75360.63604170101,-119377.71403834331,-35681.66812385712
paper4_v4_local_rt0p1700_g0p475_u0p025,baseline,-628.5470365289927,-42452.65052621986,41722.867880533515
paper4_v4_local_rt0p1700_g0p475_u0p025,severe,-145872.1061536127,-194192.31330572133,-101155.20582508337
paper4_v4_local_rt0p1700_g0p475_u0p050,adverse,-75049.50791023958,-119699.72883017345,-35896.85701658309
paper4_v4_local_rt0p1700_g0p475_u0p050,baseline,-286.700163148844,-43121.24971320584,40862.82970185407
paper4_v4_local_rt0p1700_g0p475_u0p050,severe,-144349.1922463933,-193343.12025272092,-100194.3533145242
paper4_v4_local_rt0p1700_g0p475_u0p075,adverse,-74347.80040462845,-119072.2211545718,-34208.587062155086
paper4_v4_local_rt0p1700_g0p475_u0p075,baseline,398.5837579466545,-43073.65303071254,43118.85032752838
paper4_v4_local_rt0p1700_g0p475_u0p075,severe,-144111.03224230296,-194384.41396585922,-100177.97187573835
paper4_v4_local_rt0p1700_g0p475_u0p100,adverse,-73950.61949805632,-118987.74667204464,-32814.21908577031
paper4_v4_local_rt0p1700_g0p475_u0p100,baseline,1004.8542172475726,-40708.474525032965,42797.57403708385
paper4_v4_local_rt0p1700_g0p475_u0p100,severe,-143939.60459129454,-195349.6646431279,-100834.73620796637
paper4_v4_local_rt0p1700_g0p500_u0p000,adverse,-69016.10401954922,-114464.973709243,-27703.63994147937
paper4_v4_local_rt0p1700_g0p500_u0p000,baseline,3391.0336639295433,-38569.196019705865,45417.229052732924
paper4_v4_local_rt0p1700_g0p500_u0p000,severe,-139738.572056498,-187293.72559150198,-93049.28750736109
paper4_v4_local_rt0p1700_g0p500_u0p025,adverse,-68950.00055838763,-113809.45027741877,-26761.79435807803
paper4_v4_local_rt0p1700_g0p500_u0p025,baseline,3446.8808944120487,-39946.550024281736,45609.24613200043
paper4_v4_local_rt0p1700_g0p500_u0p025,severe,-139636.23744901665,-187189.9693399254,-93492.49143334119
paper4_v4_local_rt0p1700_g0p500_u0p050,adverse,-68497.92262073077,-113093.69608297427,-27285.566712586242
paper4_v4_local_rt0p1700_g0p500_u0p050,baseline,3794.5753326006957,-37326.184939753766,45880.29642395172
paper4_v4_local_rt0p1700_g0p500_u0p050,severe,-138271.91493108016,-185467.0242882155,-91117.79538609256
paper4_v4_local_rt0p1700_g0p500_u0p075,adverse,-68048.68955866201,-113023.01031210502,-26530.70940185281
paper4_v4_local_rt0p1700_g0p500_u0p075,baseline,4147.693074775059,-37241.05753613222,46642.354944015955
paper4_v4_local_rt0p1700_g0p500_u0p075,severe,-138130.4884203321,-185557.77909403038,-91394.29975951016
paper4_v4_local_rt0p1700_g0p500_u0p100,adverse,-67365.32794316864,-113921.44408275989,-26623.30288638173
paper4_v4_local_rt0p1700_g0p500_u0p100,baseline,4873.521465085662,-35296.86193929208,46704.171778533884
paper4_v4_local_rt0p1700_g0p500_u0p100,severe,-137973.0837935349,-187918.03218571562,-92228.9104894177
paper4_v4_local_rt0p1725_g0p400_u0p000,adverse,-98878.22587687582,-145532.20364744304,-58591.99241480745
paper4_v4_local_rt0p1725_g0p400_u0p000,baseline,-14747.230830175451,-59067.73746414623,25315.09061405086
paper4_v4_local_rt0p1725_g0p400_u0p000,severe,-169672.8395147953,-218705.07463794193,-124895.25975895174
paper4_v4_local_rt0p1725_g0p400_u0p025,adverse,-98878.22587687582,-145532.20364744304,-58591.99241480745
paper4_v4_local_rt0p1725_g0p400_u0p025,baseline,-14747.230830175451,-59067.73746414623,25315.09061405086
paper4_v4_local_rt0p1725_g0p400_u0p025,severe,-169672.8395147953,-218705.07463794193,-124895.25975895174
paper4_v4_local_rt0p1725_g0p400_u0p050,adverse,-98878.22587687582,-145532.20364744304,-58591.99241480745
paper4_v4_local_rt0p1725_g0p400_u0p050,baseline,-14747.230830175451,-59067.73746414623,25315.09061405086
paper4_v4_local_rt0p1725_g0p400_u0p050,severe,-169672.8395147953,-218705.07463794193,-124895.25975895174
paper4_v4_local_rt0p1725_g0p400_u0p075,adverse,-98878.22587687582,-145532.20364744304,-58591.99241480745
paper4_v4_local_rt0p1725_g0p400_u0p075,baseline,-14747.230830175451,-59067.73746414623,25315.09061405086
paper4_v4_local_rt0p1725_g0p400_u0p075,severe,-169672.8395147953,-218705.07463794193,-124895.25975895174
paper4_v4_local_rt0p1725_g0p400_u0p100,adverse,-98878.22587687582,-145532.20364744304,-58591.99241480745
paper4_v4_local_rt0p1725_g0p400_u0p100,baseline,-14747.230830175451,-59067.73746414623,25315.09061405086
paper4_v4_local_rt0p1725_g0p400_u0p100,severe,-169672.8395147953,-218705.07463794193,-124895.25975895174
paper4_v4_local_rt0p1725_g0p425_u0p000,adverse,-93717.92246088698,-139293.6451447136,-52481.26419981333
paper4_v4_local_rt0p1725_g0p425_u0p000,baseline,-12155.630707835053,-56187.446064510856,30919.422869668582
paper4_v4_local_rt0p1725_g0p425_u0p000,severe,-163147.23208398296,-212324.89072785692,-119691.00520431226
paper4_v4_local_rt0p1725_g0p425_u0p025,adverse,-93717.92246088698,-139293.6451447136,-52481.26419981333
paper4_v4_local_rt0p1725_g0p425_u0p025,baseline,-12155.630707835053,-56187.446064510856,30919.422869668582
paper4_v4_local_rt0p1725_g0p425_u0p025,severe,-163147.23208398296,-212324.89072785692,-119691.00520431226
paper4_v4_local_rt0p1725_g0p425_u0p050,adverse,-93717.92246088698,-139293.6451447136,-52481.26419981333
paper4_v4_local_rt0p1725_g0p425_u0p050,baseline,-12155.630707835053,-56187.446064510856,30919.422869668582
paper4_v4_local_rt0p1725_g0p425_u0p050,severe,-163147.23208398296,-212324.89072785692,-119691.00520431226
paper4_v4_local_rt0p1725_g0p425_u0p075,adverse,-93717.92246088698,-139293.6451447136,-52481.26419981333
paper4_v4_local_rt0p1725_g0p425_u0p075,baseline,-12155.630707835053,-56187.446064510856,30919.422869668582
paper4_v4_local_rt0p1725_g0p425_u0p075,severe,-163147.23208398296,-212324.89072785692,-119691.00520431226
paper4_v4_local_rt0p1725_g0p425_u0p100,adverse,-93717.92246088698,-139293.6451447136,-52481.26419981333
paper4_v4_local_rt0p1725_g0p425_u0p100,baseline,-12155.630707835053,-56187.446064510856,30919.422869668582
paper4_v4_local_rt0p1725_g0p425_u0p100,severe,-163147.23208398296,-212324.89072785692,-119691.00520431226
paper4_v4_local_rt0p1725_g0p450_u0p000,adverse,-86980.6427760699,-131972.17034665978,-45634.454518692466
paper4_v4_local_rt0p1725_g0p450_u0p000,baseline,-8166.393246629157,-54460.891671315396,33227.34647218646
paper4_v4_local_rt0p1725_g0p450_u0p000,severe,-156494.85397307613,-205696.15141780116,-111211.96757124488
paper4_v4_local_rt0p1725_g0p450_u0p025,adverse,-86344.65685040536,-130238.9824130502,-45630.14980543344
paper4_v4_local_rt0p1725_g0p450_u0p025,baseline,-7479.714836428856,-49955.17095408058,34780.92381463206
paper4_v4_local_rt0p1725_g0p450_u0p025,severe,-156241.74594872422,-205696.91375392274,-111812.14115550918
paper4_v4_local_rt0p1725_g0p450_u0p050,adverse,-85950.37540130963,-132099.47326809322,-45558.35960005763
paper4_v4_local_rt0p1725_g0p450_u0p050,baseline,-7044.563085955058,-52258.11313153644,34911.936259208276
paper4_v4_local_rt0p1725_g0p450_u0p050,severe,-155919.08874076937,-206759.55594277414,-112051.73105335649
paper4_v4_local_rt0p1725_g0p450_u0p075,adverse,-85667.78836241219,-132607.8099475698,-45583.35368307785
paper4_v4_local_rt0p1725_g0p450_u0p075,baseline,-6874.362917824865,-50603.62642092818,35731.99188275245
paper4_v4_local_rt0p1725_g0p450_u0p075,severe,-154521.01279448817,-202520.73128172327,-109724.81669801539
paper4_v4_local_rt0p1725_g0p450_u0p100,adverse,-85216.28384520192,-133132.71108270765,-46277.36244543716
paper4_v4_local_rt0p1725_g0p450_u0p100,baseline,-6541.970055840569,-49392.564344519924,35989.80686495105
paper4_v4_local_rt0p1725_g0p450_u0p100,severe,-154395.297976631,-203762.72822187992,-111291.366610874
paper4_v4_local_rt0p1725_g0p475_u0p000,adverse,-79564.96637002988,-124462.30486339217,-38805.19773579961
paper4_v4_local_rt0p1725_g0p475_u0p000,baseline,-3249.130974652712,-46729.70990470419,38206.84176088924
paper4_v4_local_rt0p1725_g0p475_u0p000,severe,-149592.16893348025,-198934.7300547866,-106145.36383760528
paper4_v4_local_rt0p1725_g0p475_u0p025,adverse,-79071.46216868931,-123870.11666787519,-39369.31278184534
paper4_v4_local_rt0p1725_g0p475_u0p025,baseline,-2804.895102780183,-46933.86899552137,40157.70450366246
paper4_v4_local_rt0p1725_g0p475_u0p025,severe,-149385.63898862916,-198186.58832245256,-104787.10258679172
paper4_v4_local_rt0p1725_g0p475_u0p050,adverse,-78753.4066019703,-124129.69152932671,-38565.29222552757
paper4_v4_local_rt0p1725_g0p475_u0p050,baseline,-2470.803575364019,-46850.77642824367,38032.27240137914
paper4_v4_local_rt0p1725_g0p475_u0p050,severe,-147862.83044295365,-197222.75222372037,-103667.68276026964
paper4_v4_local_rt0p1725_g0p475_u0p075,adverse,-77973.34747284668,-123564.6237841037,-36830.379445550585
paper4_v4_local_rt0p1725_g0p475_u0p075,baseline,-1794.8337384113277,-45476.536587102506,39834.5023288841
paper4_v4_local_rt0p1725_g0p475_u0p075,severe,-147688.184565568,-197968.32232833447,-104490.44053580675
paper4_v4_local_rt0p1725_g0p475_u0p100,adverse,-77882.43973732778,-124277.64594884978,-36801.125871043645
paper4_v4_local_rt0p1725_g0p475_u0p100,baseline,-1673.034567644004,-44831.53365136322,40489.000314061894
paper4_v4_local_rt0p1725_g0p475_u0p100,severe,-147598.5941729728,-198138.31929599732,-104932.98698816959
paper4_v4_local_rt0p1725_g0p500_u0p000,adverse,-72706.26411098134,-117213.12025608122,-32632.87018281792
paper4_v4_local_rt0p1725_g0p500_u0p000,baseline,920.1184491125873,-40818.60116228114,42368.96350586515
paper4_v4_local_rt0p1725_g0p500_u0p000,severe,-143326.2879420911,-191191.68423236345,-97956.456615123
paper4_v4_local_rt0p1725_g0p500_u0p025,adverse,-72667.5450236008,-116643.18042348867,-33397.20477394004
paper4_v4_local_rt0p1725_g0p500_u0p025,baseline,1061.6611202357326,-41031.09222713502,43679.448212500334
paper4_v4_local_rt0p1725_g0p500_u0p025,severe,-143239.62907044074,-191486.6823534563,-98577.93879810056
paper4_v4_local_rt0p1725_g0p500_u0p050,adverse,-72226.37756109031,-117293.15363626053,-32320.921440023092
paper4_v4_local_rt0p1725_g0p500_u0p050,baseline,1466.7424089624217,-40188.83931331346,42990.42476653996
paper4_v4_local_rt0p1725_g0p500_u0p050,severe,-141857.96546430298,-190947.71233800528,-97216.27462088458
paper4_v4_local_rt0p1725_g0p500_u0p075,adverse,-71788.05687448161,-115981.89533969096,-31813.08042043839
paper4_v4_local_rt0p1725_g0p500_u0p075,baseline,1879.0233160085468,-39821.03004201244,44145.19873322019
paper4_v4_local_rt0p1725_g0p500_u0p075,severe,-141699.36616097233,-190963.5787319239,-97299.36253168882
paper4_v4_local_rt0p1725_g0p500_u0p100,adverse,-71070.2278924124,-116282.65195964949,-30523.59613082136
paper4_v4_local_rt0p1725_g0p500_u0p100,baseline,2693.6117156573882,-38817.093842993716,44368.67706564465
paper4_v4_local_rt0p1725_g0p500_u0p100,severe,-141463.9292038637,-191627.14003493247,-96180.36271577959
paper4_v4_local_rt0p1750_g0p400_u0p000,adverse,-100854.7250468689,-147555.52379782783,-59687.827835174605
paper4_v4_local_rt0p1750_g0p400_u0p000,baseline,-16074.787268022616,-60871.35637796846,26526.779207381347
paper4_v4_local_rt0p1750_g0p400_u0p000,severe,-172969.02099636808,-221783.67564884457,-126765.99518289696
paper4_v4_local_rt0p1750_g0p400_u0p025,adverse,-100547.6084748777,-145506.0369429629,-59880.66920156964
paper4_v4_local_rt0p1750_g0p400_u0p025,baseline,-15906.87752526265,-61659.03289322093,24488.82838973611
paper4_v4_local_rt0p1750_g0p400_u0p025,severe,-172460.05806330807,-222762.79267229556,-128152.22920194328
paper4_v4_local_rt0p1750_g0p400_u0p050,adverse,-100528.26154304606,-145517.01694296597,-59918.875343385305
paper4_v4_local_rt0p1750_g0p400_u0p050,baseline,-15894.264453156926,-61255.64121542279,24567.458562369422
