policy_id,regime_v45,objective_return,scenario_loss_cvar90,cvar_slack_v45,return_floor_slack_v45,source_cap_total_slack_v45,broken_source_caps_v45,slack_objective_v45,exact_full_universe_claim_v45,slack_certificate_scope_v45
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,committee_or_relaxed_feasible,126298.70435513796,250000.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,committee_or_relaxed_feasible,135633.49524334646,300000.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,committee_or_relaxed_feasible,135633.49524334646,307395.4792324827,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap90000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap105000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r1_k32000_floor95000_cap125000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r1_k32000_floor110000_cap150000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r1_k32000_floor125000_cap175000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r1_k32000_floor145000_cap210000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r1_k32000_floor160000_cap250000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r2_k36000_floor95000_cap125000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r2_k36000_floor110000_cap150000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r2_k36000_floor125000_cap175000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r2_k36000_floor145000_cap210000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
v13_cvar_mdcp_colgen_r2_k36000_floor160000_cap250000,strict_infeasible_or_no_solution,0.0,0.0,0.0,0.0,0.0,,0.0,False,"restricted-master candidate-set slack optimization, not mathematical full-universe proof"
