tail_lp_policy_id,risk_tolerance,tail_penalty,candidate_pool_n,solver_status,objective_value,n_funded,funded_exposure,realized_return_proxy_lgd45,mean_stress_loss_rate,cvar_95_stress_loss_rate,oce_theta5,status
tail_lp_rt0.155_pen0.00,0.155,0.0,20000,TerminationCondition.optimal,126520.15499005615,316,1000000.0,130365.9814934952,0.06975000000006976,0.10000743793248684,0.07289750578855855,tail_penalty_lp_candidate_pool_search
tail_lp_rt0.155_pen0.25,0.155,0.25,20000,TerminationCondition.optimal,109082.65499003873,316,1000000.0,130365.9814934952,0.06975000000006976,0.10000743793248684,0.07289750578855855,tail_penalty_lp_candidate_pool_search
tail_lp_rt0.155_pen0.50,0.155,0.5,20000,TerminationCondition.optimal,91645.15499002117,316,1000000.0,130365.9814934952,0.06975000000006976,0.10000743793248684,0.07289750578855855,tail_penalty_lp_candidate_pool_search
tail_lp_rt0.155_pen1.00,0.155,1.0,20000,TerminationCondition.optimal,60937.11213623888,240,1000000.0,76112.84500000156,0.04571438073906611,0.10000743793248683,0.05882042900982968,tail_penalty_lp_candidate_pool_search
tail_lp_rt0.165_pen0.00,0.165,0.0,20000,TerminationCondition.optimal,129342.10086100029,319,1000000.0,144778.58375391344,0.07425000000007424,0.11335682503504364,0.07910299184435904,tail_penalty_lp_candidate_pool_search
tail_lp_rt0.165_pen0.25,0.165,0.25,20000,TerminationCondition.optimal,110779.60086098169,319,1000000.0,144778.58375391344,0.07425000000007424,0.11335682503504364,0.07910299184435904,tail_penalty_lp_candidate_pool_search
tail_lp_rt0.165_pen0.50,0.165,0.5,20000,TerminationCondition.optimal,92217.10086096302,319,1000000.0,144778.58375391344,0.07425000000007424,0.11335682503504364,0.07910299184435904,tail_penalty_lp_candidate_pool_search
tail_lp_rt0.165_pen1.00,0.165,1.0,20000,TerminationCondition.optimal,60937.11213623888,240,1000000.0,76112.84500000156,0.04571438073906611,0.10000743793248683,0.05882042900982968,tail_penalty_lp_candidate_pool_search
tail_lp_rt0.175_pen0.00,0.175,0.0,20000,TerminationCondition.optimal,131733.3949747554,337,1000000.0,148282.67670475517,0.07875000000007876,0.14322743724420545,0.08953239197919279,tail_penalty_lp_candidate_pool_search
tail_lp_rt0.175_pen0.25,0.175,0.25,20000,TerminationCondition.optimal,112045.89497473575,337,1000000.0,148282.67670475517,0.07875000000007876,0.14322743724420545,0.08953239197919279,tail_penalty_lp_candidate_pool_search
tail_lp_rt0.175_pen0.50,0.175,0.5,20000,TerminationCondition.optimal,92359.8507930663,335,1000000.0,147621.095,0.07802327933931644,0.14005029280973502,0.08819039294299612,tail_penalty_lp_candidate_pool_search
tail_lp_rt0.175_pen1.00,0.175,1.0,20000,TerminationCondition.optimal,60937.11213623888,240,1000000.0,76112.84500000156,0.04571438073906611,0.10000743793248683,0.05882042900982968,tail_penalty_lp_candidate_pool_search
