policy_id,solver_status,elapsed_seconds,risk_tolerance,weak_penalty,width_penalty,cvar_cap,return_floor,max_weak_share,n_funded,funded_exposure,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,scenario_loss_mean,scenario_loss_max,scenario_loss_cvar90,solver_lane_v7,auditability_score_v7,frontier_feasible_v7
v7_cvar_cap420000_floor80000,TerminationCondition.optimal,1.3501300689968048,0.175,0.04,0.06,420000.0,80000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,adaptive_topk_cvar_constraint,0.43485038601218484,True
v7_cvar_cap420000_floor110000,TerminationCondition.optimal,1.463845679005317,0.175,0.04,0.06,420000.0,110000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,adaptive_topk_cvar_constraint,0.43485038601218484,True
v7_cvar_cap520000_floor80000,TerminationCondition.optimal,1.5160049440019066,0.175,0.04,0.06,520000.0,80000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,adaptive_topk_cvar_constraint,0.43485038601218484,True
v7_cvar_cap520000_floor110000,TerminationCondition.optimal,1.0667378330035717,0.175,0.04,0.06,520000.0,110000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,adaptive_topk_cvar_constraint,0.43485038601218484,True
v7_cvar_cap650000_floor80000,TerminationCondition.optimal,1.387772085996403,0.175,0.04,0.06,650000.0,80000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,adaptive_topk_cvar_constraint,0.43485038601218484,True
v7_cvar_cap650000_floor110000,TerminationCondition.optimal,1.1850395930014201,0.175,0.04,0.06,650000.0,110000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,adaptive_topk_cvar_constraint,0.43485038601218484,True
v7_cvar_cap800000_floor80000,TerminationCondition.optimal,1.422869896996417,0.175,0.04,0.06,800000.0,80000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,adaptive_topk_cvar_constraint,0.43485038601218484,True
v7_cvar_cap800000_floor110000,TerminationCondition.optimal,1.1804332730025635,0.175,0.04,0.06,800000.0,110000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,adaptive_topk_cvar_constraint,0.43485038601218484,True
v7_cvar_cap950000_floor80000,TerminationCondition.optimal,1.2900731959962286,0.175,0.04,0.06,950000.0,80000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,adaptive_topk_cvar_constraint,0.43485038601218484,True
v7_cvar_cap950000_floor110000,TerminationCondition.optimal,1.0322755649976898,0.175,0.04,0.06,950000.0,110000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,adaptive_topk_cvar_constraint,0.43485038601218484,True
v7_cvar_cap420000_floor140000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1414400739959092,,,,,,,0,0.0,,,,,,,,,adaptive_topk_cvar_constraint,,False
v7_cvar_cap520000_floor140000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.243414306001796,,,,,,,0,0.0,,,,,,,,,adaptive_topk_cvar_constraint,,False
v7_cvar_cap650000_floor140000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8698926509969169,,,,,,,0,0.0,,,,,,,,,adaptive_topk_cvar_constraint,,False
v7_cvar_cap800000_floor140000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.0798750370013295,,,,,,,0,0.0,,,,,,,,,adaptive_topk_cvar_constraint,,False
v7_cvar_cap950000_floor140000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.076908489005291,,,,,,,0,0.0,,,,,,,,,adaptive_topk_cvar_constraint,,False
