policy_id,risk_tolerance,gamma,policy_mode,uncertainty_aversion,solver_status,solve_scope,candidate_pool_n,min_budget_utilization_used,solve_seconds,n_funded,funded_exposure,realized_return_proxy_lgd45,ecl_baseline_lgd45,weighted_pd_point,weighted_pd_high,weighted_effective_pd,coverage_alpha01,default_rate_observed,delta_vs_paper1_frozen_full_exact,delta_vs_v3_gross_challenger_full_exact,paper4_local_rank_return,grid_family
paper4_v4_local_rt0p1775_g0p425_u0p050,0.1775,0.425,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.087502026000948,348,1000000.0,175282.58472726814,129909.13762128084,0.09531832468033055,0.28868697249173514,0.17750000000017752,0.9425287356321839,0.05747126436781609,1952.921311423037,1509.6301491831546,44,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p425_u0p075,0.1775,0.425,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.880282927000735,348,1000000.0,175282.58472726814,129909.13762128084,0.09531832468033055,0.28868697249173514,0.17750000000017752,0.9425287356321839,0.05747126436781609,1952.921311423037,1509.6301491831546,45,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p425_u0p100,0.1775,0.425,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.039509440999609,348,1000000.0,175282.58472726814,129909.13762128084,0.09531832468033055,0.28868697249173514,0.17750000000017752,0.9425287356321839,0.05747126436781609,1952.921311423037,1509.6301491831546,46,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p450_u0p000,0.175,0.45,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.257790507001118,337,1000000.0,175192.49,125172.00980329965,0.09059634581250062,0.27816002178511035,0.17500000000017496,0.9436201780415431,0.05637982195845697,1862.8265841548855,1419.535421915003,47,uncertainty_aversion_local_search
paper4_v4_local_rt0p1700_g0p450_u0p025,0.17,0.45,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.9375801450005383,340,1000000.0,174998.43361126567,120947.39898216803,0.08918654730545816,0.2687719977381512,0.17000000000017002,0.9470588235294117,0.052941176470588235,1668.7701954205695,1225.479033180687,48,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p500_u0p100,0.175,0.5,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.484404017999623,340,1000000.0,174757.92155780335,117415.06881592533,0.08907762485384922,0.26092237514650074,0.17500000000017496,0.95,0.05,1428.258141958242,984.9669797183597,49,uncertainty_aversion_local_search
paper4_v4_local_rt0p1725_g0p475_u0p050,0.1725,0.475,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.125386950001484,338,1000000.0,174654.63169441232,119115.77693752525,0.08907939028466932,0.26470172652783397,0.1725000000001725,0.9437869822485208,0.05621301775147929,1324.9682785672194,881.677116327337,50,uncertainty_aversion_local_search
paper4_v4_local_rt0p1700_g0p425_u0p000,0.17,0.425,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.5020869569998467,337,1000000.0,174567.57189288642,124971.75664224204,0.09038455430772423,0.27771501476053784,0.17000000000017,0.9436201780415431,0.05637982195845697,1237.9084770413174,794.617314801435,51,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p500_u0p075,0.175,0.5,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.231266186001449,341,1000000.0,174556.0224913794,117502.38597637802,0.08888358671950997,0.26111641328084,0.17500000000017496,0.9472140762463344,0.05278592375366569,1226.359075534303,783.0679132944206,52,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p450_u0p000,0.1775,0.45,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.170413795000059,336,1000000.0,174441.0154594637,126960.22278293723,0.09189050403134594,0.2821338284065272,0.1775000000001775,0.9434523809523809,0.05654761904761905,1111.3520436185936,668.0608813787112,53,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p450_u0p025,0.1775,0.45,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.1630312819997926,336,1000000.0,174441.0154594637,126960.22278293723,0.09189050403134594,0.2821338284065272,0.1775000000001775,0.9434523809523809,0.05654761904761905,1111.3520436185936,668.0608813787112,54,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p450_u0p050,0.1775,0.45,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.223966625000685,336,1000000.0,174441.0154594637,126960.22278293723,0.09189050403134594,0.2821338284065272,0.1775000000001775,0.9434523809523809,0.05654761904761905,1111.3520436185936,668.0608813787112,55,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p450_u0p075,0.1775,0.45,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.7859984030001215,336,1000000.0,174441.0154594637,126960.22278293723,0.09189050403134594,0.2821338284065272,0.1775000000001775,0.9434523809523809,0.05654761904761905,1111.3520436185936,668.0608813787112,56,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p450_u0p100,0.1775,0.45,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.101271249999627,336,1000000.0,174441.0154594637,126960.22278293723,0.09189050403134594,0.2821338284065272,0.1775000000001775,0.9434523809523809,0.05654761904761905,1111.3520436185936,668.0608813787112,57,uncertainty_aversion_local_search
paper4_v4_local_rt0p1700_g0p475_u0p100,0.17,0.475,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.168432370001028,341,1000000.0,174431.6433553046,116846.70441363897,0.08887964191999148,0.25965934314142,0.17000000000017002,0.9501466275659824,0.04985337243401759,1101.979939459503,658.6887772196205,58,uncertainty_aversion_local_search
paper4_v4_local_rt0p1700_g0p425_u0p100,0.17,0.425,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.308890104999591,335,1000000.0,174404.72097666154,124469.47145963172,0.09120956378640784,0.27659882546584824,0.17000000000017,0.9432835820895522,0.056716417910447764,1075.0575608164363,631.7663985765539,59,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p500_u0p025,0.1775,0.5,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.0958043379996525,340,1000000.0,174355.17192184576,119689.08051838518,0.08902426551505457,0.2659757344853004,0.1775000000001775,0.9441176470588235,0.05588235294117647,1025.5085060006531,582.2173437607707,60,uncertainty_aversion_local_search
paper4_v4_local_rt0p1725_g0p475_u0p025,0.1725,0.475,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.136893979000888,342,1000000.0,174336.04133148163,119271.63750833966,0.08876601982483084,0.26504808335186586,0.1725000000001725,0.9444444444444444,0.05555555555555555,1006.3779156365199,563.0867533966375,61,uncertainty_aversion_local_search
paper4_v4_local_rt0p1725_g0p425_u0p000,0.1725,0.425,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.8623200149995682,337,1000000.0,174291.23238256914,126807.48648965094,0.09171717194966561,0.2817944144214465,0.1725000000001725,0.9436201780415431,0.05637982195845697,961.5689667240367,518.2778044841543,62,uncertainty_aversion_local_search
paper4_v4_local_rt0p1725_g0p425_u0p025,0.1725,0.425,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.206472768999447,337,1000000.0,174291.23238256914,126807.48648965094,0.09171717194966561,0.2817944144214465,0.1725000000001725,0.9436201780415431,0.05637982195845697,961.5689667240367,518.2778044841543,63,uncertainty_aversion_local_search
paper4_v4_local_rt0p1725_g0p425_u0p050,0.1725,0.425,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.068147032001434,337,1000000.0,174291.23238256914,126807.48648965094,0.09171717194966561,0.2817944144214465,0.1725000000001725,0.9436201780415431,0.05637982195845697,961.5689667240367,518.2778044841543,64,uncertainty_aversion_local_search
paper4_v4_local_rt0p1725_g0p425_u0p075,0.1725,0.425,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.250007606999134,337,1000000.0,174291.23238256914,126807.48648965094,0.09171717194966561,0.2817944144214465,0.1725000000001725,0.9436201780415431,0.05637982195845697,961.5689667240367,518.2778044841543,65,uncertainty_aversion_local_search
paper4_v4_local_rt0p1725_g0p425_u0p100,0.1725,0.425,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.919204368999999,337,1000000.0,174291.23238256914,126807.48648965094,0.09171717194966561,0.2817944144214465,0.1725000000001725,0.9436201780415431,0.05637982195845697,961.5689667240367,518.2778044841543,66,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p500_u0p050,0.1775,0.5,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.544567136999831,338,1000000.0,174204.3726836744,119509.95766260274,0.0894223163056822,0.2655776836946728,0.1775000000001775,0.9437869822485208,0.05621301775147929,874.7092678292829,431.4181055894005,67,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p450_u0p100,0.175,0.45,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.241358534000028,335,1000000.0,173856.52646047235,124762.6239357848,0.09134068375343674,0.2772502754128551,0.17500000000017496,0.9432835820895522,0.056716417910447764,526.8630446272437,83.57188238736126,68,uncertainty_aversion_local_search
paper4_v4_local_rt0p1700_g0p450_u0p000,0.17,0.45,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.119140467999387,340,1000000.0,173790.71071864534,121091.81392749527,0.08892397467759042,0.26909291983887845,0.17000000000017,0.9441176470588235,0.05588235294117647,461.0473028002307,17.756140560348285,69,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p500_u0p000,0.1775,0.5,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.253029490000699,341,1000000.0,173714.6533967239,119722.18953193161,0.08895068992939585,0.2660493100709591,0.1775000000001775,0.9442815249266863,0.05571847507331378,384.9899808788032,-58.301181361079216,70,uncertainty_aversion_local_search
paper4_v4_local_rt0p1725_g0p500_u0p100,0.1725,0.5,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.000892609999937,343,1000000.0,173680.69742503017,115421.19599692151,0.08850845334051938,0.2564915466598256,0.17250000000017246,0.9504373177842566,0.04956268221574344,351.0340091850667,-92.25715305481572,71,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p450_u0p075,0.175,0.45,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.191513506999399,334,1000000.0,173629.03530901,124783.03483273927,0.0913035730317013,0.27729563296164284,0.175000000000175,0.9431137724550899,0.05688622754491018,299.3718931649055,-143.9192690749769,72,uncertainty_aversion_local_search
paper4_v4_local_rt0p1700_g0p475_u0p075,0.17,0.475,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.019715824000741,342,1000000.0,173262.65358311104,116956.10639586649,0.08865968026260286,0.2599024586574811,0.17000000000017,0.9444444444444444,0.05555555555555555,-67.00983273406746,-510.30099497394986,73,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p500_u0p025,0.175,0.5,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.194603507001375,343,1000000.0,173158.21762633137,117789.45478955262,0.08824565602356638,0.2617543439767836,0.17500000000017496,0.9446064139941691,0.05539358600583091,-171.44578951373114,-614.7369517536135,74,uncertainty_aversion_local_search
paper4_v4_local_rt0p1700_g0p425_u0p075,0.17,0.425,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.7460323220002465,335,1000000.0,173075.4867266607,124588.50277484735,0.0910140534135899,0.27686333949966074,0.17000000000017,0.9432835820895522,0.056716417910447764,-254.17668918441632,-697.4678514242987,75,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p500_u0p050,0.175,0.5,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.417265324000255,340,1000000.0,173047.1409540687,117610.33193377018,0.08864370681419402,0.26135629318615594,0.17500000000017496,0.9441176470588235,0.05588235294117647,-282.5224617764179,-725.8136240163003,76,uncertainty_aversion_local_search
paper4_v4_local_rt0p1725_g0p475_u0p000,0.1725,0.475,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.053649605000828,342,1000000.0,172955.2559129311,119381.66862171731,0.08854479324766942,0.2652925969371495,0.1725000000001725,0.9444444444444444,0.05555555555555555,-374.4075029139931,-817.6986651538755,77,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p400_u0p000,0.175,0.4,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.091577531999064,346,1000000.0,172888.58249999856,131094.05465054087,0.0967192473494625,0.2913201214456464,0.17455959698793605,0.9393063583815029,0.06069364161849711,-441.08091584654176,-884.3720780864242,78,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p400_u0p000,0.1775,0.4,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.249335193999286,346,1000000.0,172888.58249999856,131094.05465054087,0.0967192473494625,0.2913201214456464,0.17455959698793605,0.9393063583815029,0.06069364161849711,-441.08091584654176,-884.3720780864242,79,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p400_u0p025,0.175,0.4,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.8647923199987417,346,1000000.0,172778.21250000078,130891.15777366528,0.09647583036101422,0.29086923949703397,0.17423319401542212,0.9393063583815029,0.06069364161849711,-551.4509158443252,-994.7420780842076,80,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p400_u0p025,0.1775,0.4,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.28469547900022,346,1000000.0,172778.21250000078,130891.15777366528,0.09647583036101422,0.29086923949703397,0.17423319401542212,0.9393063583815029,0.06069364161849711,-551.4509158443252,-994.7420780842076,81,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p400_u0p050,0.175,0.4,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.9200557069998467,346,1000000.0,172767.23249999774,130871.26424580562,0.0964520571148653,0.2908250316573458,0.17420124693185748,0.9393063583815029,0.06069364161849711,-562.4309158473625,-1005.7220780872449,82,uncertainty_aversion_local_search
