policy_id,period,original_grade,n_funded,funded_exposure,realized_return_proxy_lgd45,ecl_baseline_lgd45,observed_default_rate,weighted_pd_high
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H1,C,15,41250.0,6480.615,3175.474546830606,0.0,0.17106933585619427
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H1,D,22,47800.0,6779.47,4464.291624153994,0.13636363636363635,0.20754493836141305
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H1,E,8,10500.0,2598.7,2682.048839458436,0.0,0.5676293840123673
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H1,F,2,2000.0,603.4,676.2400610642001,0.0,0.751377845626889
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,C,39,103725.0,12990.2775,8482.343980600472,0.05128205128205128,0.18172719489248754
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,D,33,113850.0,18835.125,10076.73011844468,0.06060606060606061,0.1966862854329709
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,E,37,74000.0,14732.109999999999,14725.212860335136,0.05405405405405406,0.4421985843944485
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,F,8,8700.0,1797.33,2576.9852551389613,0.125,0.6582337816446899
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018H2,G,2,2000.0,616.3000000000001,689.9085077972447,0.0,0.7665650086636053
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,C,44,136350.0,17836.225000000002,10688.962965500263,0.06818181818181818,0.1742079283787681
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,D,29,73175.0,11370.135,7652.326782337072,0.10344827586206896,0.2323904424655376
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,E,9,16500.0,4059.8149999999996,2341.5650439213246,0.0,0.3153622954776194
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,F,2,2000.0,601.0,651.0260317385796,0.0,0.7233622574873105
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H1,G,1,1000.0,308.40000000000003,327.6172391911737,0.0,0.7280383093137194
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H2,C,34,96825.0,12724.777499999998,8289.54621413326,0.08823529411764706,0.19025266004838648
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019H2,D,33,104150.0,20537.275,10157.193361870368,0.030303030303030304,0.21672146715464588
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2020,B,4,15000.0,2295.7999999999997,1151.2173741285014,0.0,0.1705507220931113
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2020,C,15,42100.0,7697.16,3885.0751907569256,0.0,0.20507126897634867
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2020,D,3,5450.0,1367.4750000000001,472.5244853554955,0.0,0.19267053429378
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,2018H1,C,15,41250.0,6480.615,3175.474546830606,0.0,0.17106933585619427
