reward_per_imputation_penalty_v304,milp_success_v304,milp_status_v304,milp_message_v304,milp_gap_v304,milp_dual_bound_v304,milp_node_count_v304,milp_incumbent_available_v304,selected_rows_v304,portfolio_exposure_v304,objective_return_v304,delta_return_vs_v295_v304,delta_return_vs_v302_frontier_v304,scenario_loss_cvar90_v304,delta_cvar90_vs_v295_v304,imputed_proxy_loan_rows_v304,imputed_rows_reduced_vs_v295_v304,imputed_rows_delta_vs_v302_frontier_v304,bounded_pool_share_of_full_universe_v304,bounded_pool_optimality_claim_allowed_v304,full_universe_global_claim_allowed_v304,working_champion_claim_allowed_v304,paper1_promotion_allowed_v304,claim_boundary_v304
0.0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,-4407.357278629824,183,True,171,846525.0,4407.357278629816,1157.39863068264,1286.927244820663,97068.38549161276,-158.02410454572237,68,8,7,0.00622677150565791,True,False,False,False,reward solution is optimal only inside observed-proxy bounded pool
2.0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,-4271.684069517048,268,True,171,846475.0,4405.684069517044,1155.7254215698676,1285.2540357078906,97065.6376287087,-160.77196744977846,67,9,6,0.00622677150565791,True,False,False,False,reward solution is optimal only inside observed-proxy bounded pool
5.0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,-4070.684069517042,431,True,171,846475.0,4405.684069517044,1155.7254215698676,1285.2540357078906,97065.6376287087,-160.77196744977846,67,9,6,0.00622677150565791,True,False,False,False,reward solution is optimal only inside observed-proxy bounded pool
10.0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,-3751.7756672609394,8,True,171,845125.0,4341.775667260941,1091.8170193137648,1221.3456334517878,97063.96734527961,-162.44225087887025,59,17,-2,0.00622677150565791,True,False,False,False,reward solution is optimal only inside observed-proxy bounded pool
20.0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,-3194.3223100762807,914,True,171,846500.0,4214.322310076282,964.3636621291053,1093.8922762671282,97070.87798038824,-155.5316157702473,51,25,-10,0.00622677150565791,True,False,False,False,reward solution is optimal only inside observed-proxy bounded pool
