policy_id,registry_source,final_wealth_mean,final_wealth_p05,cumulative_losses_p95,ECL_final_mean,source_exposure_weak_share_final_mean,wealth_rank,p05_wealth_rank,p95_loss_rank,ecl_rank,source_rank,auditability_score_proxy_v26,full_candidate_score_v26,claim_safety_gate,decision_v26
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v23_dynamic,1170273.4955465363,1114651.2876789847,111806.64317826425,770.6581689527328,0.5900117663350978,2.0,1.0,11.0,11.0,12.0,0.3660714285714286,0.6352678571428572,True,review
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v23_dynamic,1170273.4955465363,1114651.2876789847,111806.64317826425,770.6581689527328,0.5900117663350978,2.0,1.0,11.0,11.0,12.0,0.3660714285714286,0.6352678571428572,True,review
v13_mdcp_empirical_return_recovery,v23_dynamic,1126985.638462636,1088800.0189508274,87848.4334089355,455.6636295625312,0.5156249999999999,7.0,6.0,6.0,10.0,11.0,0.5678571428571428,0.6208928571428571,True,review
v13_spo_regret_balanced,v23_dynamic,1129788.8295962424,1085836.0042242862,96626.23260980642,0.0,0.0,6.0,7.0,8.0,1.0,1.0,0.7124999999999999,0.6175892857142856,True,review
v13_spo_regret_return_recovery,v23_dynamic,1131388.9490357896,1089419.8060568438,97777.1263354624,0.0,0.0,5.0,5.0,9.0,1.0,1.0,0.6875,0.6174107142857143,True,review
paper1_economic_champion,v23_dynamic,1170569.18924002,1101128.379191626,140410.55435149773,1151.1767093738329,0.322265625,1.0,4.0,13.0,14.0,10.0,0.35357142857142854,0.5958928571428571,True,retain_working_champion
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,v23_dynamic,1148018.0921288268,1105101.4895671362,99960.38057079572,770.6581689527328,0.5900117663350978,4.0,3.0,10.0,11.0,12.0,0.4035714285714286,0.5926785714285713,True,review
v13_fvi_return_recovery,v23_dynamic,1098242.4625846653,1078406.4815683523,52023.44353001024,0.0,0.0,10.0,8.0,3.0,1.0,1.0,0.8374999999999999,0.5791964285714286,True,review
v13_fvi_bellman_rollout,v23_dynamic,1091609.9566779889,1073628.2777604174,48544.76844126722,0.0,0.0,11.0,10.0,1.0,1.0,1.0,0.8875,0.5545535714285714,True,review
v13_spo_regret_audit_guarded,v23_dynamic,1120845.3158714666,1076676.2364918531,95770.90740824076,0.0,0.0,8.0,9.0,7.0,1.0,1.0,0.7375,0.5499107142857143,True,serious_challenger
v13_mdcp_empirical_base,v23_dynamic,1099794.2194613586,1069484.3854517748,80492.71962943752,0.0,0.0,9.0,12.0,5.0,1.0,1.0,0.7874999999999999,0.5395535714285714,True,park
v13_fvi_capital_guarded,v23_dynamic,1089808.5820246264,1071353.0444136446,48998.18538927638,0.0,0.0,12.0,11.0,2.0,1.0,1.0,0.8625,0.4900892857142857,True,park
v13_mdcp_empirical_tight,v23_dynamic,1063734.4711272153,1034625.7683223784,67379.08919928402,0.0,0.0,13.0,13.0,4.0,1.0,1.0,0.8125,0.4504464285714286,True,park
v13_static_reference,v23_dynamic,1051812.225135927,921199.465395938,350089.6060895317,164.90270506808193,0.1467282065317553,14.0,14.0,14.0,9.0,9.0,0.4178571428571428,0.21625,True,park
