selected_frontier_step_v303,reward_lower_bound_v303,reward_upper_bound_v303,selected_imputed_rows_v303,selected_imputed_rows_reduced_v303,selected_objective_return_v303,selected_cvar90_v303,selected_cumulative_return_delta_v303,claim_boundary_v303
0,0.0,1.9854510187119558,76,0,3249.9586479471764,97226.40959615848,0.0,upper-envelope interval over greedy prefixes only; no global proof
2,1.9854510187119558,2.906655198576118,74,2,3245.9877459097524,97221.10982228302,-3.970902037423912,upper-envelope interval over greedy prefixes only; no global proof
3,2.906655198576118,3.860503909639192,73,3,3243.0810907111763,97199.14490085244,-6.877557235999834,upper-envelope interval over greedy prefixes only; no global proof
4,3.860503909639192,4.937574958727055,72,4,3239.220586801537,97195.39452711004,-10.738061145639254,upper-envelope interval over greedy prefixes only; no global proof
5,4.937574958727055,6.185845436394175,71,5,3234.28301184281,97178.5024888409,-15.67563610436608,upper-envelope interval over greedy prefixes only; no global proof
6,6.185845436394175,7.254526575342879,70,6,3228.097166406416,97186.15141979678,-21.86148154076004,upper-envelope interval over greedy prefixes only; no global proof
7,7.254526575342879,8.884350310757933,69,7,3220.842639831073,97147.35807434992,-29.116008116102368,upper-envelope interval over greedy prefixes only; no global proof
10,8.884350310757933,10.695967924719753,66,10,3194.1895888987992,97165.68025212026,-55.769059048376434,upper-envelope interval over greedy prefixes only; no global proof
11,10.695967924719753,13.392396528315203,65,11,3183.4936209740795,97170.45184023306,-66.4650269730963,upper-envelope interval over greedy prefixes only; no global proof
12,13.392396528315203,14.21720992567407,64,12,3170.1012244457643,97166.59879199324,-79.8574235014114,upper-envelope interval over greedy prefixes only; no global proof
13,14.21720992567407,16.165387448406364,63,13,3155.88401452009,97208.09170095297,-94.0746334270855,upper-envelope interval over greedy prefixes only; no global proof
14,16.165387448406364,19.288593262530867,62,14,3139.718627071684,97225.09578512456,-110.24002087549177,upper-envelope interval over greedy prefixes only; no global proof
15,19.288593262530867,inf,61,15,3120.430033809153,97093.78314579456,-129.5286141380224,upper-envelope interval over greedy prefixes only; no global proof
