candidate_pair_index_v301,repair_profile_v301,added_loan_id_v301,dropped_loan_id_v301,added_loan_amount_v301,dropped_loan_amount_v301,added_mean_return_v301,dropped_mean_return_v301,return_delta_v301,objective_return_after_repair_v301,exposure_after_repair_v301,cvar90_after_repair_v301,imputation_reduction_v301,imputed_proxy_loan_rows_after_v301,grade_A_exposure_delta_v301,score0_exposure_delta_v301,return_improving_repair_v301,budget_feasible_v301,source_feasible_v301,cvar_feasible_v301,added_proxy_source_v301,dropped_proxy_source_v301,added_grade_v301,dropped_grade_v301,added_score_decile_v301,dropped_score_decile_v301,added_period_v301,dropped_period_v301,claim_boundary_v301,repair_rank_v301,repair_candidate_id_v301
671,no_tight_relief,156707196,143080063,1000.0,1000.0,-158.460227701337,-156.12567534075419,-2.334552360582819,3247.6240955865937,842775.0,97216.88567393793,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,D,E,2,2,2019,2018,one-swap imputation/source relief candidate only; no branch-price termination,1,best_return_imputation_repair
327,relieves_grade_A_and_score0,139555921,152791402,1000.0,1100.0,20.061689374742194,24.766249859780725,-4.704560485038531,3245.2540874621377,842675.0,97197.29074860565,1,75,-100.0,-100.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,A,A,0,0,2018,2019,one-swap imputation/source relief candidate only; no branch-price termination,7,best_tight_source_relief_repair
