source_family,source_id,issue_month,n_loans,coverage,avg_width,n_policies,parent_n,parent_coverage,direct_cell_scope_v45
grade,A,2020-07,1,1.0,0.8381493609212858,70,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2018-02,1,1.0,0.8648111225414128,60,8,0.9374163319946452,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2018-04,1,0.0,0.8636430153376995,70,3,0.7254901960784313,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2018-07,1,1.0,0.8720999744023203,70,19,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2018-08,2,1.0,0.8707270737430622,70,20,0.9972707423580786,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2018-10,1,1.0,0.8585271370791429,70,15,0.9856115107913669,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2018-11,2,1.0,0.861404818599581,90,29,0.9898042414355628,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2018-12,1,1.0,0.8636430153376994,54,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2019-01,2,1.0,0.856365096472615,52,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2019-02,1,1.0,0.8636430153376995,70,16,0.981536189069424,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2019-03,5,0.8181818181818182,0.8587379085873849,65,20,0.9838909541511772,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2019-04,3,1.0,0.86940912379085,90,24,0.9148418491484185,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2019-05,4,0.9195402298850575,0.8570274487702941,90,19,0.9853760445682451,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2019-08,2,1.0,0.8636430153376995,70,18,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2019-10,2,1.0,0.8740547971277725,90,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2019-11,1,1.0,0.8636430153376995,8,13,0.8845798707294552,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2019-12,1,1.0,0.8636430153376994,80,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2020-01,1,1.0,0.8528517804870072,80,8,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2020-04,1,1.0,0.8959195078971658,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2020-05,1,1.0,0.8901523383201217,100,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2020-06,1,1.0,0.8647689772803158,100,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,B,2020-07,1,1.0,0.9739576110075903,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-01,5,1.0,0.620613208982183,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-02,1,1.0,0.9727702239865921,100,8,0.9374163319946452,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-03,3,1.0,0.8714498925041164,100,5,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-04,1,1.0,0.8720999744023203,85,3,0.7254901960784313,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-05,6,1.0,0.9125062189571626,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-06,4,1.0,0.9261663498265746,100,14,0.9041411042944786,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-07,3,1.0,0.8994644815302203,100,19,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-08,11,0.99375,0.9005048089906595,100,20,0.9972707423580786,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-09,7,1.0,0.90902401564768,100,17,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-10,6,0.9615384615384616,0.9010933943203212,100,15,0.9856115107913669,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-11,8,1.0,0.9218974921537888,100,29,0.9898042414355628,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2018-12,9,1.0,0.8978032336775327,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-01,7,1.0,0.9066563740202063,100,20,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-02,4,1.0,0.9235298435072945,100,16,0.981536189069424,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-03,4,1.0,0.9015947222654761,100,20,0.9838909541511772,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-04,14,0.8983739837398373,0.9239495831370235,100,24,0.9148418491484185,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-05,7,1.0,0.9150950208085648,100,19,0.9853760445682451,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-06,7,0.8333333333333334,0.8980458389119443,100,16,0.9325236167341431,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-07,10,0.8765060240963856,0.9168927426445742,100,26,0.9461570945945946,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-08,8,1.0,0.9100281497642232,100,18,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-09,3,1.0,0.9645010168170939,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-10,2,1.0,0.9087308123131461,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-11,5,0.7619047619047619,0.9243594613448501,100,13,0.8845798707294552,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2019-12,5,1.0,0.9050944815277244,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2020-01,2,1.0,0.9019592229817286,100,8,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2020-02,5,1.0,0.9159471834856013,100,5,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2020-03,1,1.0,0.9182820763442386,20,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2020-04,2,1.0,0.8986800994794482,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2020-07,1,1.0,0.8959195078971658,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2020-08,3,1.0,0.9290080498131834,100,3,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,C,2020-09,1,1.0,0.9390547995493362,100,1,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2018-01,2,1.0,0.7123795137013426,100,9,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2018-02,6,0.9203577512776832,0.9824331542126928,100,8,0.9374163319946452,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2018-03,2,1.0,0.9819777220081813,100,5,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2018-04,1,1.0,0.9816480430640655,100,3,0.7254901960784313,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2018-05,2,1.0,0.9840324771333343,100,10,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2018-06,8,0.96875,0.985001093389537,100,14,0.9041411042944786,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2018-07,4,1.0,0.9843033947710765,100,19,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2018-08,5,1.0,0.9843304833244427,100,20,0.9972707423580786,source-month loan-level coverage cell using historical accepted-loan evidence
grade,D,2018-09,7,1.0,0.9827667019718086,100,17,1.0,source-month loan-level coverage cell using historical accepted-loan evidence
