stage_v267,pair_rows_v267,claim_boundary_v267
all_pairs,47315358,post-v266 bounded two-swap one-swap screen stage count only
return_improving,1653502,post-v266 bounded two-swap one-swap screen stage count only
budget_return_feasible,997447,post-v266 bounded two-swap one-swap screen stage count only
source_prefilter_feasible,4038,post-v266 bounded two-swap one-swap screen stage count only
source_exact_feasible,0,post-v266 bounded two-swap one-swap screen stage count only
cvar_feasible_improving,0,post-v266 bounded two-swap one-swap screen stage count only
