policy_id,reference_policy_id,n_months,paired_monthly_diff,bootstrap_p05,bootstrap_p50,bootstrap_p95,prob_diff_positive,bootstrap_scope
paper4_v4_local_rt0p1775_g0p425_u0p100,paper1_economic_champion,33,1952.921311423017,-7309.027019704131,2105.2919114351243,11186.75526737944,0.63,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p425_u0p000,paper1_economic_champion,33,1952.921311423017,-7247.465711860746,1798.7464539991347,10400.378537081588,0.622,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p450_u0p000,paper1_economic_champion,33,1862.826584154881,-3092.4056073527545,1810.8218225683759,6412.399254541876,0.728,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p450_u0p025,paper1_economic_champion,33,1668.7701954205845,-3654.137156581416,1473.5302888617584,7203.65363611904,0.666,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p500_u0p100,paper1_economic_champion,33,1428.258141958233,-5286.905111188622,1718.8994937790503,9013.200758822959,0.642,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p475_u0p050,paper1_economic_champion,33,1324.9682785671998,-4738.416405009869,1229.2535078852259,8088.25924876508,0.61,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p425_u0p000,paper1_economic_champion,33,1237.9084770413115,-3093.847216407104,1355.4691805298175,5255.544468625354,0.696,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p500_u0p075,paper1_economic_champion,33,1226.3590755342798,-6744.120465303489,1314.2243643960408,9442.44649804981,0.616,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p450_u0p000,paper1_economic_champion,33,1111.3520436185736,-902.6148496980866,1165.1891156112108,3986.786653620553,0.808,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p450_u0p050,paper1_economic_champion,33,1111.3520436185736,-1259.1601859503683,995.8859324674629,3790.578260380018,0.762,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p450_u0p075,paper1_economic_champion,33,1111.3520436185736,-1031.1678131971717,976.966027547875,3735.9652889411477,0.794,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p450_u0p100,paper1_economic_champion,33,1111.3520436185736,-1188.1616990116827,886.3615304668472,3544.6937113670856,0.748,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p450_u0p025,paper1_economic_champion,33,1111.3520436185736,-1081.4395327251061,1245.68207897565,3961.8170400246036,0.796,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p475_u0p100,paper1_economic_champion,33,1101.979939459492,-7051.2810615853505,922.2867762422288,9053.472218921843,0.59,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p425_u0p100,paper1_economic_champion,33,1075.0575608164127,65.06868941275955,1000.0463717843606,2608.732860462077,0.958,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p500_u0p025,paper1_economic_champion,33,1025.5085060006563,-5929.633035797504,676.2389582804428,7371.021899511884,0.562,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p475_u0p025,paper1_economic_champion,33,1006.3779156365076,-7044.921174410953,1246.6557472723707,8406.867239150693,0.618,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p425_u0p100,paper1_economic_champion,33,961.568966724024,-1270.4439838415117,826.7008741593136,3596.8527184475092,0.728,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p425_u0p050,paper1_economic_champion,33,961.568966724024,-1427.4589549260604,822.5413639526853,4061.5537476726295,0.696,common observed issue-month resampling
