policy_id,risk_tolerance,gamma,policy_mode,uncertainty_aversion,solver_status,solve_scope,candidate_pool_n,min_budget_utilization_used,solve_seconds,n_funded,funded_exposure,realized_return_proxy_lgd45,ecl_baseline_lgd45,weighted_pd_point,weighted_pd_high,weighted_effective_pd,coverage_alpha01,default_rate_observed,delta_vs_paper1_frozen_full_exact,delta_vs_v3_gross_challenger_full_exact,paper4_local_rank_return,grid_family,net_return_after_contractual_ecl_v4,contractual_ecl_v4,adverse_net_return_v4,online_mean_v4,online_min_v4,online_width_v4,mdcp_worst_v4,mdcp_pass_share_v4,max_proxy_gap_v4,mean_proxy_gap_v4,proxy_sources_pass_35,prob_beats_paper1,p05_diff_vs_paper1,gate_return_positive,gate_ifrs9_baseline_positive,gate_online_worst_cell,gate_online_global_method,gate_mdcp,gate_fairness_proxy,gate_sample_path,selector_v4_score,paper4_v4_decision,selector_v4_rank
paper4_v4_local_rt0p1775_g0p500_u0p100,0.1775,0.5,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.087270443000307,340,1000000.0,175874.51929404918,119358.46393550056,0.0897589690325759,0.265241030967779,0.1775000000001775,0.95,0.05,2544.855878204078,2101.564715964196,28,uncertainty_aversion_local_search,86110.30067767121,89764.21861637794,-130700.63758487775,0.9906004887322822,0.9047619047619048,0.9914440013605572,0.75,0.8888888888888888,0.2647051599896575,0.09958500491366935,1.0,0.9533333333333334,497.06531638579133,True,True,True,False,False,True,True,0.85555574832274,park_for_more_tests,1
paper4_v4_local_rt0p1725_g0p475_u0p075,0.1725,0.475,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.9619446609995066,339,1000000.0,175419.62596103313,118923.46393665017,0.0894660513446298,0.2642743643036669,0.1725000000001725,0.9469026548672568,0.0530973451327433,2089.9625451880274,1646.671382948145,40,uncertainty_aversion_local_search,85934.89891983828,89484.72704119486,-130324.28263589265,0.9903281614219114,0.9,0.9914918419527396,0.8181818181818181,1.0,0.2631261212945334,0.09918862504486266,1.0,0.96,622.6337465888561,True,True,True,False,True,True,True,0.8517693137764496,review_candidate,2
paper4_v4_local_rt0p1750_g0p500_u0p100,0.175,0.5,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.484404017999623,340,1000000.0,174757.92155780335,117415.06881592532,0.0890776248538492,0.2609223751465007,0.1750000000001749,0.95,0.05,1428.258141958242,984.9669797183597,49,uncertainty_aversion_local_search,86135.38177756131,88622.53978024203,-129130.78114695306,0.990476970945721,0.9047619047619048,0.9913555845135907,0.8461538461538461,1.0,0.2647051599896575,0.09974933051532568,1.0,0.97,1537.585957176816,True,True,True,False,True,True,True,0.8496146066911378,review_candidate,3
paper4_v4_local_rt0p1700_g0p450_u0p100,0.17,0.45,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.8669785269994463,339,1000000.0,176079.05689101736,120450.52180584034,0.0900899603533266,0.2676678262352007,0.17000000000017,0.9469026548672568,0.0530973451327433,2749.3934751722554,2306.102312932373,25,uncertainty_aversion_local_search,85738.34791086754,90340.70898014985,-131781.19236215312,0.9905649038461538,0.9,0.9916269736756885,0.75,0.8888888888888888,0.26607597380190806,0.09950301389053849,1.0,0.9566666666666667,190.36643827999237,True,True,True,False,False,True,True,0.848378459950581,park_for_more_tests,4
paper4_v4_local_rt0p1725_g0p475_u0p100,0.1725,0.475,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.98527887399905,340,1000000.0,175568.70111044557,118895.851409494,0.0895215685949967,0.2642130031322089,0.1725000000001725,0.95,0.05,2239.03769460044,1795.7465323605577,38,uncertainty_aversion_local_search,86065.70840086664,89502.9927095789,-130306.59265006013,0.9906004887322822,0.9047619047619048,0.9914440013605572,0.75,0.8888888888888888,0.2647051599896575,0.09958500491366935,1.0,0.9533333333333334,381.89741058533394,True,True,True,False,False,True,True,0.8481631455966668,park_for_more_tests,5
paper4_v4_local_rt0p1775_g0p500_u0p075,0.1775,0.5,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.165729128999374,339,1000000.0,175710.54583156918,119401.7120856899,0.0896628620321552,0.2653371379681998,0.1775000000001775,0.9469026548672568,0.0530973451327433,2380.8824157240742,1937.591253484192,30,uncertainty_aversion_local_search,85943.52301221182,89767.02281935733,-130737.16186393276,0.9904516792084727,0.9,0.9915459248993026,0.75,0.8888888888888888,0.26607597380190806,0.09936169856539923,1.0,0.9566666666666667,757.4290001272361,True,True,True,False,False,True,True,0.8470270962862918,park_for_more_tests,6
paper4_v4_local_rt0p1700_g0p475_u0p100,0.17,0.475,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.168432370001028,341,1000000.0,174431.6433553046,116846.70441363896,0.0888796419199914,0.25965934314142,0.17000000000017,0.9501466275659824,0.0498533724340175,1101.979939459503,658.6887772196205,58,uncertainty_aversion_local_search,86133.4265668815,88298.2167884231,-128698.36836291401,0.990476970945721,0.9047619047619048,0.9913899184139943,0.8461538461538461,1.0,0.26334238614111505,0.09956604276592128,1.0,0.9833333333333333,2359.0969288506135,True,True,True,False,True,True,True,0.8443647061372801,review_candidate,7
paper4_v4_local_rt0p1725_g0p450_u0p100,0.1725,0.45,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.323500435999449,337,1000000.0,176892.4809693785,122611.8074978932,0.0907058045495986,0.2724706833286516,0.1725000000001724,0.9465875370919882,0.0534124629080118,3562.8175535333867,3119.5263912935043,9,uncertainty_aversion_local_search,85419.34387889318,91473.13709048531,-133441.12814336165,0.9905649038461538,0.9,0.9921337986044622,0.75,0.8888888888888888,0.2688420076070427,0.10005726448373792,1.0,0.8333333333333334,-2151.697525195626,True,True,True,False,False,True,True,0.8433090133237024,park_for_more_tests,8
paper4_v4_local_rt0p1775_g0p475_u0p100,0.1775,0.475,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.8381273459999647,337,1000000.0,177097.5721843643,122986.11611598668,0.090821565481423,0.2733024802577482,0.1775000000001775,0.9465875370919882,0.0534124629080118,3767.908768519206,3324.617606279324,4,uncertainty_aversion_local_search,85431.35508472216,91666.21709964215,-133660.76025442837,0.9905649038461538,0.9,0.9921337986044622,0.75,0.8888888888888888,0.2688420076070427,0.10005726448373792,1.0,0.77,-2357.2958173192997,True,True,True,False,False,True,True,0.8415669420364531,park_for_more_tests,9
paper4_v4_local_rt0p1750_g0p500_u0p075,0.175,0.5,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.231266186001449,341,1000000.0,174556.0224913794,117502.38597637802,0.0888835867195099,0.26111641328084,0.1750000000001749,0.9472140762463344,0.0527859237536656,1226.359075534303,783.0679132944206,52,uncertainty_aversion_local_search,86014.4868704323,88541.5356209471,-128813.7975545929,0.990476970945721,0.9047619047619048,0.9915604030425375,0.8181818181818181,1.0,0.26334238614111505,0.09916925069355975,1.0,0.9733333333333334,1745.55124141134,True,True,True,False,True,True,True,0.8388171581155357,review_candidate,10
