stage_v274,pair_rows_v274,claim_boundary_v274
all_pairs,47315358,post-v273 restricted-pool MILP one-swap screen stage count only
return_improving,1636704,post-v273 restricted-pool MILP one-swap screen stage count only
budget_return_feasible,980057,post-v273 restricted-pool MILP one-swap screen stage count only
source_prefilter_feasible,14210,post-v273 restricted-pool MILP one-swap screen stage count only
source_exact_feasible,0,post-v273 restricted-pool MILP one-swap screen stage count only
cvar_feasible_improving,0,post-v273 restricted-pool MILP one-swap screen stage count only
