policy_id,pd_cap_v10,width_weight,source_weight,ecl_weight,funded_exposure,n_funded,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,share_grade_dplus,share_dti_high,share_score_low_monitored,ecl_proxy_v10,auditability_score_v10,decision_loss_proxy_v10,constraint_pd_pass,constraint_mdcp_proxy_pass,training_status_v10,dfl_cap_scope_v10
v10_dfl_constrained_p0p205_w0p06_s0p08_e0p25,0.205,0.06,0.08,0.25,982700.0,242,122329.75818308107,115656.0375,0.194782795708568,0.787022104776535,0.40217640175027985,0.2586750788643533,0.04866693802788236,0.948305688409484,86135.87400426439,0.516623683328749,35490.303223409326,False,True,relaxed_pd_cap_candidate_for_review_not_promotion,grade_dplus_and_dti_hard_caps_score_decile_monitored
v10_dfl_constrained_p0p190_w0p06_s0p08_e0p25,0.19,0.06,0.08,0.25,980000.0,247,120632.75265077908,112157.5475,0.1876322777780172,0.7861393567581585,0.4004017857142857,0.2519387755102041,0.052066326530612245,0.9588775510204082,82745.83450010559,0.5176687915901449,36925.426136267146,False,True,relaxed_pd_cap_candidate_for_review_not_promotion,grade_dplus_and_dti_hard_caps_score_decile_monitored
v10_dfl_constrained_p0p205_w0p10_s0p04_e0p25,0.205,0.1,0.04,0.25,981200.0,436,119541.89582248627,126222.35999999999,0.18140549420728716,0.7602507891520903,0.4426021708112515,0.24877700774561762,0.1246942519364044,0.9802282918874847,80097.78191228556,0.5125058436478466,38404.214834708706,False,True,relaxed_pd_cap_candidate_for_review_not_promotion,grade_dplus_and_dti_hard_caps_score_decile_monitored
v10_dfl_constrained_p0p175_w0p06_s0p08_e0p25,0.175,0.06,0.08,0.25,980200.0,247,117605.89369860804,114857.08750000002,0.17444823553576091,0.78389957139156,0.39508518669659254,0.23082024076719038,0.04522036319118547,0.97704550091818,76947.37221246879,0.5206298090708397,39436.46283815657,True,True,official_constraint_candidate,grade_dplus_and_dti_hard_caps_score_decile_monitored
v10_dfl_constrained_p0p190_w0p10_s0p04_e0p25,0.19,0.1,0.04,0.25,981200.0,434,117150.39629790142,123208.68000000001,0.17426130684835506,0.7558558053804844,0.4364107725234407,0.22095393395841825,0.12449041989400733,0.992152466367713,76943.3374258227,0.516704468181289,40378.744423309414,True,True,relaxed_pd_cap_candidate_for_review_not_promotion,grade_dplus_and_dti_hard_caps_score_decile_monitored
v10_dfl_constrained_p0p175_w0p06_s0p04_e0p50,0.175,0.06,0.04,0.5,998825.0,234,115374.69555089893,117804.98999999999,0.14591970305513244,0.7680913935397778,0.443277100593197,0.19908392361024205,0.12254398918729507,0.996495882662128,65586.71133181921,0.5089563164878784,41858.08006521313,True,True,official_constraint_candidate,grade_dplus_and_dti_hard_caps_score_decile_monitored
v10_dfl_constrained_p0p190_w0p06_s0p04_e0p50,0.19,0.06,0.04,0.5,998825.0,234,115374.69555089893,117804.98999999999,0.14591970305513244,0.7680913935397778,0.443277100593197,0.19908392361024205,0.12254398918729507,0.996495882662128,65586.71133181921,0.5089563164878784,41858.08006521313,True,True,relaxed_pd_cap_candidate_for_review_not_promotion,grade_dplus_and_dti_hard_caps_score_decile_monitored
v10_dfl_constrained_p0p205_w0p06_s0p04_e0p50,0.205,0.06,0.04,0.5,998825.0,234,115374.69555089893,117804.98999999999,0.14591970305513244,0.7680913935397778,0.443277100593197,0.19908392361024205,0.12254398918729507,0.996495882662128,65586.71133181921,0.5089563164878784,41858.08006521313,True,True,relaxed_pd_cap_candidate_for_review_not_promotion,grade_dplus_and_dti_hard_caps_score_decile_monitored
v10_dfl_constrained_p0p175_w0p10_s0p04_e0p25,0.175,0.1,0.04,0.25,980525.0,431,114342.54293937067,116923.8925,0.16647831333226457,0.7519196786031723,0.42873078197904185,0.20165217613013436,0.11664669437291247,0.9974503454781877,73456.26668105341,0.5212760378346317,42722.20348209682,True,True,official_constraint_candidate,grade_dplus_and_dti_hard_caps_score_decile_monitored
v10_dfl_constrained_p0p205_w0p06_s0p12_e0p25,0.205,0.06,0.12,0.25,982375.0,437,111979.62401612215,109079.35500000001,0.1696575641770572,0.7834894826299723,0.32162488866267974,0.13678585061712686,0.040208677948848456,0.9805573228146075,75000.30732379646,0.5487169596035935,43175.47987679963,True,True,relaxed_pd_cap_candidate_for_review_not_promotion,grade_dplus_and_dti_hard_caps_score_decile_monitored
