policy_id,source_family,source_value,n_funded,funded_exposure,coverage_alpha01,ecl_baseline_lgd45
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,10,10200.0,0.8,3204.5668525984697
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,3,3000.0,1.0,1008.5186587313428
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,B,5,16500.0,1.0,1220.8138309770902
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,C,187,555300.0,0.9518716577540107,45282.57406701917
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,D,103,296925.0,0.941747572815534,28038.92095519901
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,E,39,69300.0,0.9743589743589743,12297.96009757653
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,F,7,9000.0,0.7142857142857143,2687.879254623168
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,G,1,1000.0,1.0,332.2785976671428
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,B,6,17500.0,1.0,1267.2114688761494
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,C,180,550000.0,0.95,44871.48044769675
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,D,114,319125.0,0.9210526315789473,31602.62126900789
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,E,32,59000.0,1.0,9028.45648195942
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,F,10,10500.0,0.8,3009.4886359385714
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,G,2,2000.0,1.0,656.6603216610063
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,3,12000.0,1.0,976.2591929109874
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,136,396400.0,0.9411764705882353,32594.27918427149
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,123,349825.0,0.926829268292683,34518.33355814198
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,52,92650.0,0.9807692307692307,17542.63015094044
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,17,19275.0,0.7647058823529411,6144.886853966896
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,8,8550.0,0.75,2929.886396308219
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,C,136,396400.0,0.9411764705882353,32594.27918427149
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,D,129,364475.0,0.9224806201550387,38716.11481913907
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,E,51,94900.0,0.9803921568627451,17968.008022810463
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,F,14,17900.0,0.7857142857142857,5540.505963629989
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,G,4,4000.0,1.0,1354.1943839454589
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,C,134,391900.0,0.9477611940298507,32160.294058249106
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,D,131,361950.0,0.9389312977099237,38207.12362995658
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,E,49,95250.0,1.0,17922.287970774505
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,F,15,17200.0,0.8,5193.2866644337055
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,G,5,5000.0,0.8,1702.5287872800852
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,149,416125.0,0.9530201342281879,33933.74161754834
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,125,356775.0,0.928,36924.72209452994
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,48,89600.0,0.9583333333333334,16135.630067179269
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,9,11000.0,0.6666666666666667,3308.7563197179516
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,2,2000.0,1.0,655.2344783823474
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,C,160,467050.0,0.95,38485.588832027825
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,D,117,332925.0,0.9316239316239316,32979.67318940491
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,E,44,82800.0,1.0,16561.08791119154
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,F,9,12200.0,0.7777777777777778,3567.9581213916313
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,G,4,4500.0,0.75,1531.4528915408823
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,B,5,16500.0,1.0,1220.8138309770902
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,C,152,433550.0,0.9473684210526316,35409.52420685456
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,D,130,366325.0,0.9230769230769231,39662.695220116315
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,E,42,81350.0,1.0,13284.267574232706
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,F,10,12000.0,0.8,3450.6135344060526
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,G,2,2000.0,1.0,656.6603216610063
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,165,503150.0,0.9515151515151515,41188.006252162406
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,119,343425.0,0.9243697478991597,32450.938605372965
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,42,72850.0,0.9761904761904762,13561.865948824654
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,5,5000.0,1.0,1387.4111064611438
