source_family,source_id,cap_share_v79,source_exposure_v79,source_share_v79,source_slack_v79,source_cap_violated_v79,portfolio_label_v79
score_decile,2,0.9,19700.0,0.023313609467455622,0.8766863905325444,False,support_binary_milp
score_decile,3,0.9,3000.0,0.0035502958579881655,0.8964497041420119,False,support_binary_milp
score_decile,4,0.9,0.0,0.0,0.9,False,support_binary_milp
score_decile,5,0.9,0.0,0.0,0.9,False,support_binary_milp
score_decile,6,0.9,0.0,0.0,0.9,False,support_binary_milp
score_decile,7,0.9,0.0,0.0,0.9,False,support_binary_milp
score_decile,8,0.9,0.0,0.0,0.9,False,support_binary_milp
score_decile,9,0.9,0.0,0.0,0.9,False,support_binary_milp
income_band,0,0.85,25400.0,0.030059171597633137,0.8199408284023668,False,support_binary_milp
income_band,1,0.85,31500.0,0.03727810650887574,0.8127218934911242,False,support_binary_milp
income_band,2,0.85,50350.0,0.059585798816568045,0.790414201183432,False,support_binary_milp
income_band,3,0.85,88650.0,0.1049112426035503,0.7450887573964496,False,support_binary_milp
income_band,4,0.85,649100.0,0.7681656804733727,0.08183431952662723,False,support_binary_milp
dti_band,0,0.85,627525.0,0.7426331360946745,0.10736686390532546,False,support_binary_milp
dti_band,1,0.85,189375.0,0.22411242603550297,0.625887573964497,False,support_binary_milp
dti_band,2,0.85,10600.0,0.012544378698224851,0.8374556213017751,False,support_binary_milp
dti_band,3,0.85,11000.0,0.01301775147928994,0.83698224852071,False,support_binary_milp
dti_band,4,0.85,6500.0,0.007692307692307693,0.8423076923076923,False,support_binary_milp
period,2018,0.82,555725.0,0.6576627218934912,0.16233727810650878,False,support_binary_milp
period,2019,0.82,253375.0,0.29985207100591715,0.5201479289940828,False,support_binary_milp
period,2020,0.82,35900.0,0.04248520710059171,0.7775147928994083,False,support_binary_milp
state_top20,AZ,0.35,6000.0,0.007100591715976331,0.34289940828402365,False,support_binary_milp
state_top20,CA,0.35,115000.0,0.13609467455621302,0.21390532544378696,False,support_binary_milp
state_top20,CO,0.35,15500.0,0.018343195266272188,0.3316568047337278,False,support_binary_milp
state_top20,FL,0.35,50725.0,0.060029585798816565,0.2899704142011834,False,support_binary_milp
state_top20,GA,0.35,49050.0,0.05804733727810651,0.29195266272189346,False,support_binary_milp
state_top20,IL,0.35,82925.0,0.09813609467455621,0.2518639053254438,False,support_binary_milp
state_top20,IN,0.35,1000.0,0.001183431952662722,0.34881656804733724,False,support_binary_milp
state_top20,MA,0.35,25400.0,0.030059171597633137,0.3199408284023668,False,support_binary_milp
state_top20,MD,0.35,11500.0,0.013609467455621301,0.3363905325443787,False,support_binary_milp
state_top20,MI,0.35,2400.0,0.0028402366863905324,0.3471597633136094,False,support_binary_milp
state_top20,MN,0.35,10000.0,0.011834319526627219,0.33816568047337275,False,support_binary_milp
state_top20,NC,0.35,15400.0,0.018224852071005916,0.33177514792899404,False,support_binary_milp
state_top20,NJ,0.35,10000.0,0.011834319526627219,0.33816568047337275,False,support_binary_milp
state_top20,NV,0.35,9400.0,0.011124260355029586,0.3388757396449704,False,support_binary_milp
state_top20,NY,0.35,83675.0,0.09902366863905325,0.2509763313609467,False,support_binary_milp
state_top20,OH,0.35,19400.0,0.022958579881656806,0.3270414201183432,False,support_binary_milp
state_top20,PA,0.35,37850.0,0.04479289940828402,0.30520710059171596,False,support_binary_milp
state_top20,TX,0.35,36000.0,0.04260355029585799,0.307396449704142,False,support_binary_milp
state_top20,VA,0.35,15500.0,0.018343195266272188,0.3316568047337278,False,support_binary_milp
state_top20,WA,0.35,55075.0,0.0651775147928994,0.2848224852071006,False,support_binary_milp
state_top20,other,0.35,193200.0,0.22863905325443787,0.12136094674556211,False,support_binary_milp
