cvar_policy_id,risk_tolerance,cvar_cap,return_floor,beta,candidate_pool_n,solver_status,elapsed_seconds,n_funded,funded_exposure,objective_return,formal_cvar_loss,realized_return_proxy_lgd45,mean_scenario_loss,max_scenario_loss
paper4_v4_cvar_rt0p1700_cap90000_floor89024,0.17,90000.0,89024.05130362569,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.9067723930002103,0,0.0,,,,,
paper4_v4_cvar_rt0p1700_cap90000_floor124633,0.17,90000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.9962398999996367,0,0.0,,,,,
paper4_v4_cvar_rt0p1700_cap90000_floor151340,0.17,90000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.0909825369999453,0,0.0,,,,,
paper4_v4_cvar_rt0p1700_cap120000_floor89024,0.17,120000.0,89024.05130362569,0.9,12000,TerminationCondition.optimal,0.9777967899990472,216,1000000.0,97485.65653826,120000.0,63002.08617835334,71293.50649350647,119999.99999999997
paper4_v4_cvar_rt0p1700_cap120000_floor124633,0.17,120000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8273710530011158,0,0.0,,,,,
paper4_v4_cvar_rt0p1700_cap120000_floor151340,0.17,120000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8188463749993389,0,0.0,,,,,
paper4_v4_cvar_rt0p1700_cap160000_floor89024,0.17,160000.0,89024.05130362569,0.9,12000,TerminationCondition.optimal,0.878713037000125,248,1000000.0,110441.6666398935,160000.0,69810.9579834131,95058.00865800865,159999.99999999997
paper4_v4_cvar_rt0p1700_cap160000_floor124633,0.17,160000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.6873289810009737,0,0.0,,,,,
paper4_v4_cvar_rt0p1700_cap160000_floor151340,0.17,160000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.0260382600008597,0,0.0,,,,,
paper4_v4_cvar_rt0p1700_cap210000_floor89024,0.17,210000.0,89024.05130362569,0.9,12000,TerminationCondition.optimal,0.9703422840011626,279,1000000.0,124304.25311315988,210000.0,91822.78853920642,126619.39469908003,209999.99999999994
paper4_v4_cvar_rt0p1700_cap210000_floor124633,0.17,210000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.04340227800094,0,0.0,,,,,
paper4_v4_cvar_rt0p1700_cap210000_floor151340,0.17,210000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.8645452330001717,0,0.0,,,,,
paper4_v4_cvar_rt0p1750_cap90000_floor89024,0.175,90000.0,89024.05130362569,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.833143043999371,0,0.0,,,,,
paper4_v4_cvar_rt0p1750_cap90000_floor124633,0.175,90000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.7558590089993231,0,0.0,,,,,
paper4_v4_cvar_rt0p1750_cap90000_floor151340,0.175,90000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.9910693609999726,0,0.0,,,,,
paper4_v4_cvar_rt0p1750_cap120000_floor89024,0.175,120000.0,89024.05130362569,0.9,12000,TerminationCondition.optimal,1.1181946870001411,216,1000000.0,97485.65653826,120000.0,63002.08617835334,71293.50649350647,119999.99999999997
paper4_v4_cvar_rt0p1750_cap120000_floor124633,0.175,120000.0,124633.67182507596,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1112811029997829,0,0.0,,,,,
paper4_v4_cvar_rt0p1750_cap120000_floor151340,0.175,120000.0,151340.88721616365,0.9,12000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.1033162019994052,0,0.0,,,,,
paper4_v4_cvar_rt0p1750_cap160000_floor89024,0.175,160000.0,89024.05130362569,0.9,12000,TerminationCondition.optimal,1.1362066329984373,248,1000000.0,110441.6666398935,160000.0,69810.9579834131,95058.00865800865,159999.99999999997
