group,n,coverage_90,avg_width_90,median_width_90,coverage_95,avg_width_95,median_width_95,coverage_before,coverage_after,multiplier,adjusted
A,72388,0.9038514670939934,0.22161048576977088,0.2109273582790847,0.9618445046140244,0.8385062356809476,0.9018678365930829,0.8979034617259873,0.9098976109215017,1.2,True
B,75311,0.9431158794863964,0.9271226018337433,1.0,0.9587576848003612,0.949307070273336,1.0,0.9134125636672326,0.9270656479909452,1.02,True
C,70568,0.9320088425348599,0.9495948111043975,1.0,0.95798378868609,0.9701744990756715,1.0,0.9243371586861892,0.9243371586861892,1.0,False
D,45637,0.9272520104301335,0.9572190894504762,1.0,0.9675920853693275,0.9788279280679375,1.0,0.9251948051948052,0.9251948051948052,1.0,False
E,10828,0.8900997414111562,0.948494848836935,1.0,0.921315108976727,0.9589821444751928,1.0,0.93,0.93,1.0,False
F,1731,0.9202772963604853,0.9785746140659023,1.0,0.9566724436741768,0.9806161597507991,1.0,0.920303605313093,0.920303605313093,1.0,False
G,406,0.9408866995073891,0.9745372905811549,1.0,0.9408866995073891,0.9745372905811549,1.0,0.9512195121951219,0.9512195121951219,1.0,False
