month,n,coverage_90,coverage_95,avg_width_90,avg_width_95,p90_width_90,target_90,target_95,gap_90,gap_95,coverage_90_roll3,coverage_95_roll3,avg_width_90_roll3
2018-01-01,19073,0.8972893619252347,0.9476222932941855,0.7589828137876932,0.9478594561848497,1.0,0.9,0.95,-0.002710638074765348,-0.0023777067058144974,0.8972893619252347,0.9476222932941855,0.7589828137876932
2018-02-01,16313,0.8875130264206461,0.945993992521302,0.7660433121000109,0.9506687891453446,1.0,0.9,0.95,-0.01248697357935391,-0.004006007478697948,0.8924011941729404,0.9468081429077437,0.762513062943852
2018-03-01,18538,0.8875822634588413,0.9432516992124286,0.7605907245573156,0.9483378833439571,1.0,0.9,0.95,-0.012417736541158741,-0.006748300787571382,0.8907948839349075,0.945622661675972,0.7618722834816731
2018-04-01,19569,0.8826204711533548,0.9430221268332567,0.7668045912443617,0.9484299106391627,1.0,0.9,0.95,-0.017379528846645176,-0.006977873166743254,0.8859052536776141,0.9440892728556625,0.7644795426338961
2018-05-01,20259,0.8809418036428254,0.9396317685966731,0.7642312415592124,0.9490904782197983,1.0,0.9,0.95,-0.01905819635717465,-0.010368231403326877,0.8837148460850072,0.9419685315474527,0.7638755191202966
2018-06-01,17087,0.8867560133434775,0.9417100719845497,0.7533533724211796,0.9479527989367513,1.0,0.9,0.95,-0.013243986656522488,-0.008289928015450254,0.883439429379886,0.9414546558048266,0.7614630684082512
2018-07-01,16921,0.8849358784941789,0.9427929791383488,0.7502779096532267,0.9497895079677237,1.0,0.9,0.95,-0.015064121505821149,-0.007207020861651148,0.8842112318268273,0.9413782732398572,0.7559541745445396
2018-08-01,16854,0.8859024563901744,0.9466595466951465,0.744255174673698,0.9488777604014307,1.0,0.9,0.95,-0.014097543609825625,-0.0033404533048534413,0.8858647827426102,0.9437208659393482,0.7492954855827015
2018-09-01,13393,0.8806092735010826,0.9424326140521168,0.7267598977938022,0.9470228748604261,1.0,0.9,0.95,-0.019390726498917377,-0.007567385947883198,0.883815869461812,0.9439617132952041,0.7404309940402424
2018-10-01,14997,0.8731079549243181,0.9359871974394879,0.7300929538216515,0.9471617611278328,1.0,0.9,0.95,-0.02689204507568188,-0.014012802560512072,0.8798732282718583,0.9416931193955836,0.7337026754297172
2018-11-01,12630,0.873950910530483,0.9427553444180523,0.7513279726869317,0.9555501287323069,1.0,0.9,0.95,-0.026049089469517006,-0.0072446555819476455,0.8758893796519613,0.9403917186365524,0.7360602747674618
2018-12-01,11544,0.8793312543312544,0.9510568260568261,0.7457630542860766,0.9565902422465794,1.0,0.9,0.95,-0.02066874566874566,0.00105682605682611,0.8754633732620185,0.9432664559714553,0.7423946602648867
2019-01-01,11265,0.8819351975144252,0.9474478473146916,0.7340635867209593,0.9566755973320987,1.0,0.9,0.95,-0.01806480248557485,-0.0025521526853083953,0.8784057874587209,0.9470866725965233,0.7437182045646559
2019-02-01,8414,0.8767530306631804,0.9437841692417399,0.7350356597826515,0.9582046693925799,1.0,0.9,0.95,-0.02324696933681958,-0.006215830758260044,0.8793398275029533,0.9474296142044191,0.7382874335965625
2019-03-01,7829,0.8881083152382169,0.9566994507599949,0.7409484403153895,0.9598106089426016,1.0,0.9,0.95,-0.01189168476178315,0.006699450759994896,0.8822655144719408,0.9493104891054754,0.7366825622730001
2019-04-01,8574,0.8891999066946583,0.956962911126662,0.7309527353635762,0.9573303887059447,1.0,0.9,0.95,-0.010800093305341707,0.00696291112666203,0.8846870841986852,0.9524821770427989,0.735645611820539
2019-05-01,7803,0.892477252338844,0.9561707035755479,0.7308477119170037,0.9565825238183446,1.0,0.9,0.95,-0.007522747661156015,0.006170703575547942,0.8899284914239064,0.956611021820735,0.7342496291986564
2019-06-01,6360,0.8966981132075472,0.9534591194968554,0.7159546124459172,0.9532280024197657,1.0,0.9,0.95,-0.0033018867924528017,0.0034591194968554007,0.8927917574136832,0.9555309113996885,0.7259183532421657
2019-07-01,6846,0.9052001168565585,0.9589541338007596,0.7287994750351657,0.9539584288493091,1.0,0.9,0.95,0.005200116856558523,0.0089541338007596,0.8981251608009831,0.9561946522910544,0.7252005997993622
2019-08-01,5475,0.9126940639269406,0.9654794520547946,0.7240649659112727,0.9511486541762274,1.0,0.9,0.95,0.012694063926940613,0.015479452054794618,0.9048640979970154,0.9592975684508032,0.7229396844641185
2019-09-01,4282,0.9198972442783746,0.9661373190098085,0.7292681032063356,0.9477634096581391,1.0,0.9,0.95,0.019897244278374582,0.016137319009808526,0.9125971416872912,0.9635236349551208,0.7273775147175914
2019-10-01,3673,0.9240402940375715,0.9678736727470733,0.7346887355804803,0.9485613353212954,1.0,0.9,0.95,0.024040294037571464,0.0178736727470733,0.9188772007476289,0.9664968146038921,0.7293406015660295
2019-11-01,2577,0.9398525417151726,0.9778812572759022,0.7457912194322687,0.9496326617248217,1.0,0.9,0.95,0.03985254171517261,0.027881257275902294,0.9279300266770396,0.9706307496775946,0.7365826860730281
2019-12-01,2307,0.9471174685739056,0.9826614651061986,0.739081731546353,0.9466256894975168,1.0,0.9,0.95,0.04711746857390553,0.032661465106198606,0.9370034347755499,0.9761387983763914,0.7398538955197006
2020-01-01,1642,0.9652862362971986,0.9951278928136419,0.7276921365077935,0.9443826839877175,1.0,0.9,0.95,0.06528623629719854,0.045127892813641934,0.9507520821954256,0.9852235383985809,0.737521695828805
2020-02-01,919,0.9651795429815017,0.9956474428726877,0.7083166592427323,0.9420137706035989,1.0,0.9,0.95,0.06517954298150164,0.04564744287268774,0.9591944159508685,0.9911456002641761,0.7250301757656263
