month,grade,n,coverage_90,coverage_95,avg_width_90,avg_width_95,gap_90,gap_95
2018-01-01,A,4624,0.8907871972318339,0.9431228373702422,0.18122780834539054,0.8624473403911579,-0.009212802768166162,-0.006877162629757794
2018-01-01,B,5481,0.896916621054552,0.9480021893814997,0.9159579133694662,0.9667090823894738,-0.0030833789454479676,-0.0019978106185002398
2018-01-01,C,4973,0.8958375226221597,0.9505328775387091,0.9547411207861992,0.9786880614416991,-0.004162477377840368,0.00053287753870912
2018-01-01,D,3012,0.9086985391766268,0.9472111553784861,0.966855161365691,0.9823323753525354,0.008698539176626774,-0.002788844621513853
2018-01-01,E,800,0.90125,0.9525,0.970493355952537,0.9801942255452437,0.0012499999999999734,0.0025000000000000577
2018-01-01,F,156,0.9166666666666666,0.9615384615384616,0.9904415349129326,0.9947473482879243,0.016666666666666607,0.011538461538461608
2018-01-01,G,27,0.8518518518518519,0.9259259259259259,0.9895405368097988,0.996207940285182,-0.04814814814814816,-0.024074074074074026
2018-02-01,A,3854,0.8819408406850026,0.9439543331603529,0.18227227167808346,0.8652956904488095,-0.018059159314997464,-0.006045666839647024
2018-02-01,B,4629,0.8889608986822208,0.9475048606610499,0.9185557396766163,0.9685947464032484,-0.011039101317779187,-0.00249513933895007
2018-02-01,C,4433,0.8826979472140762,0.9427024588314911,0.9576366345724856,0.9806128576202967,-0.017302052785923783,-0.007297541168508892
2018-02-01,D,2546,0.9049489395129615,0.9544383346425765,0.9681606917488363,0.9833754347776417,0.004948939512961492,0.004438334642576591
2018-02-01,E,680,0.8941176470588236,0.9441176470588235,0.9747911369865488,0.9838729777901487,-0.00588235294117645,-0.00588235294117645
2018-02-01,F,138,0.8260869565217391,0.9347826086956522,0.9894460248307001,0.9947912304684984,-0.07391304347826089,-0.015217391304347738
2018-02-01,G,33,0.7575757575757576,0.8484848484848485,0.9833590741585145,0.9921156291227939,-0.14242424242424245,-0.10151515151515145
2018-03-01,A,4473,0.8765928906773978,0.9351665548848648,0.18113032245326546,0.8616254147241563,-0.02340710932260226,-0.01483344511513518
2018-03-01,B,5384,0.8891158989598811,0.9426077265973254,0.9188859763533911,0.9682959734896823,-0.010884101040118943,-0.007392273402674565
2018-03-01,C,4811,0.8962793598004573,0.9507378923300769,0.9573015600874837,0.9804973004475581,-0.0037206401995427685,0.000737892330076928
2018-03-01,D,2922,0.8880903490759754,0.9425051334702259,0.9631849534698357,0.9803155726100783,-0.011909650924024628,-0.007494866529774047
2018-03-01,E,777,0.8828828828828829,0.9510939510939511,0.9692653137886439,0.9797083455525578,-0.017117117117117164,0.001093951093951162
2018-03-01,F,149,0.9060402684563759,0.9530201342281879,0.9902169459700596,0.9947830553546084,0.006040268456375841,0.0030201342281879207
2018-03-01,G,22,0.8181818181818182,0.8636363636363636,0.9857777018338294,0.9918638517568403,-0.08181818181818179,-0.08636363636363631
2018-04-01,A,4547,0.8794809764680008,0.9395205630085771,0.18075016786349832,0.8596817269356486,-0.020519023531999192,-0.010479436991422841
2018-04-01,B,5513,0.8889896608017414,0.9461273353890803,0.9175074569908424,0.9671682918375689,-0.011010339198258667,-0.0038726646109196183
2018-04-01,C,5342,0.8775739423436915,0.9402845376263572,0.955674876637253,0.9792261170504865,-0.022426057656308562,-0.009715462373642736
2018-04-01,D,3139,0.887543803759159,0.9455240522459382,0.9614623855188874,0.9799326034128628,-0.012456196240841044,-0.004475947754061793
2018-04-01,E,823,0.8784933171324423,0.9489671931956257,0.9714426252057544,0.9818174891773528,-0.021506682867557747,-0.0010328068043742311
2018-04-01,F,163,0.852760736196319,0.9447852760736196,0.9888202050422789,0.9935320318032934,-0.04723926380368104,-0.005214723926380338
2018-04-01,G,42,0.8571428571428571,0.9523809523809523,0.9902102211631717,0.9961295677926467,-0.04285714285714293,0.0023809523809523725
2018-05-01,A,4802,0.8650562265722616,0.9310703873386089,0.18194559696909823,0.863314395969252,-0.03494377342773847,-0.018929612661391038
2018-05-01,B,5724,0.8731656184486373,0.9327393431167016,0.9142870501003564,0.9661312122247048,-0.02683438155136275,-0.017260656883298364
2018-05-01,C,5458,0.903444485159399,0.9554781971418101,0.963716490573809,0.9835683000897026,0.003444485159398991,0.005478197141810193
2018-05-01,D,3193,0.8775446288756655,0.9357970560601315,0.9605464747846941,0.9785375603037512,-0.02245537112433449,-0.014202943939868429
2018-05-01,E,873,0.8934707903780069,0.9495990836197021,0.9643939122294123,0.9750632445968709,-0.006529209621993104,-0.00040091638029782217
2018-05-01,F,171,0.8888888888888888,0.9415204678362573,0.9882095147071946,0.9941563951224358,-0.011111111111111183,-0.008479532163742642
2018-05-01,G,38,0.7894736842105263,0.868421052631579,0.9892020894065986,0.9956853157330996,-0.1105263157894737,-0.08157894736842097
2018-06-01,A,4296,0.8763966480446927,0.9385474860335196,0.18309633075918583,0.8667747180487554,-0.023603351955307272,-0.011452513966480393
2018-06-01,B,4675,0.8720855614973262,0.9311229946524064,0.910533229617611,0.9637138589201935,-0.027914438502673833,-0.018877005347593512
2018-06-01,C,4562,0.9101271372205173,0.9563787812362998,0.9668596681428148,0.9854703271773568,0.01012713722051728,0.006378781236299869
2018-06-01,D,2629,0.8870292887029289,0.9410422213769494,0.9610115055993369,0.9779883713102083,-0.012970711297071169,-0.008957778623050583
2018-06-01,E,725,0.8827586206896552,0.9310344827586207,0.9593560798012488,0.9719381130357788,-0.017241379310344862,-0.018965517241379293
2018-06-01,F,172,0.9244186046511628,0.9709302325581395,0.9807874339947837,0.9845540732389377,0.024418604651162745,0.020930232558139528
