pd_mult,lgd_mult,discount_rate,stage2_share,stage3_share,total_ecl,total_ecl_low,total_ecl_high,total_ecl_range,temporal_source,temporal_pd_baseline_mult,temporal_point_model,temporal_interval_model,temporal_status,temporal_official_status
0.9,0.9,0.04,0.3921565794653789,0.22483918387396207,726510550.4859426,320292.1696202219,1134043556.5586762,1133723264.389056,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
0.9,0.9,0.05,0.3921565794653789,0.22483918387396207,719591402.3860765,320292.1696202219,1134043556.5586762,1133723264.389056,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
0.9,0.9,0.06,0.3921565794653789,0.22483918387396207,712802804.2503587,320292.1696202219,1134043556.5586762,1133723264.389056,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
0.9,1.0,0.04,0.3921565794653789,0.22483918387396207,807233944.9843805,355880.1884669132,1260048396.1763072,1259692515.9878402,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
0.9,1.0,0.05,0.3921565794653789,0.22483918387396207,799546002.651196,355880.1884669132,1260048396.1763072,1259692515.9878402,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
0.9,1.0,0.06,0.3921565794653789,0.22483918387396207,792003115.8337319,355880.1884669132,1260048396.1763072,1259692515.9878402,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
0.9,1.1,0.04,0.3921565794653789,0.22483918387396207,887957339.4828188,391468.20731360454,1386053235.7939377,1385661767.5866241,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
0.9,1.1,0.05,0.3921565794653789,0.22483918387396207,879500602.9163157,391468.20731360454,1386053235.7939377,1385661767.5866241,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
0.9,1.1,0.06,0.3921565794653789,0.22483918387396207,871203427.4171051,391468.20731360454,1386053235.7939377,1385661767.5866241,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
0.9,1.2,0.04,0.3921565794653789,0.22483918387396207,968680733.9812567,427056.2261602959,1512058075.4115684,1511631019.185408,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
