max_candidates,random_state,lambda,baseline_ret,robust_ret,price_of_robustness,price_of_robustness_pct,worst_case_pd,n_funded
12000,42,0.0,123451.85718303913,70050.3269791436,53401.53020389553,43.25696787557094,0.1,129
12000,7,0.0,127837.27000918059,69669.68602626426,58167.58398291633,45.50127202988928,0.1,128
12000,13,0.0,127642.41828873631,69012.48594686882,58629.93234186749,45.93295326697982,0.1,130
8000,7,0.0,123123.89918635866,68043.96731479479,55079.931871563866,44.735370009479865,0.09999999999999999,119
8000,42,0.0,115646.057766352,67015.98420497507,48630.07356137692,42.050783658537874,0.10000000000000002,120
8000,13,0.0,120100.86708993951,66086.82007030553,54014.047019633974,44.973902626976816,0.1,127
5000,13,0.0,105727.59742574723,62424.6487630043,43302.94866274293,40.95709135237385,0.1,115
5000,42,0.0,104063.89915937331,62275.544704386644,41788.354454986664,40.1564373352823,0.1,97
5000,7,0.0,105856.05325820114,62182.631631508295,43673.42162669284,41.25736817312967,0.1,127
3000,42,0.0,98235.00745070817,59595.0678005568,38639.93965015138,39.33418508584791,0.1,97
3000,13,0.0,96955.9199899935,57647.68705524465,39308.232934748856,40.54237527569261,0.1,98
3000,7,0.0,102423.14927095656,57086.1855458596,45336.96372509697,44.26437191920071,0.1,102
