method,method_display,mean_regret,std_regret,median_regret,q25_regret,q75_regret,min_regret,max_regret,n_observations,improvement_vs_two_stage_pct,auditability_score,wilcoxon_vs_two_stage_statistic,wilcoxon_vs_two_stage_pvalue,wilcoxon_alternative,coverage_90,coverage_95,avg_width_90,min_grade_coverage_90
spo_plus,SPO+,0.061835402027383676,0.03380288935725009,0.05812236666679382,0.037103891372680664,0.08105015195906162,0.0,0.28463510796427727,4000,61.071811924299126,1.0,7898727.0,0.0,two_stage > method,,,,
rfyl,RFYL,0.0714477125165904,0.038910616237047196,0.06536858156323433,0.04287904128432274,0.09369264263659716,0.0,0.2968005836009979,4000,55.02042692078969,1.0,7824499.0,0.0,two_stage > method,,,,
cave,CaVE,0.07228445279333028,0.04016764821703034,0.06638281513005495,0.04330349434167147,0.09418579190969467,0.0,0.3411408234387636,4000,54.49366100242058,1.0,7787506.0,0.0,two_stage > method,,,,
pairwise_ltr,Pairwise LTR,0.10196109690617504,0.05019789720645058,0.09457301534712315,0.06561550218611956,0.13200611621141434,0.0,0.3640810241922736,4000,35.810868832878825,1.0,6972323.0,0.0,two_stage > method,,,,
two_stage,Two-stage Ridge,0.1588448003741014,0.06905594410942834,0.14951002597808838,0.10920412000268698,0.19985116831958294,0.0070466287434101105,0.4699963368475437,4000,0.0,1.0,,,baseline,,,,
pfyl_mul,PFYL-Mul,0.3881303746810818,0.12536943568534722,0.3741091026458889,0.29739703005179763,0.4648008443764411,0.055513305589556694,0.8997161081351805,4000,-144.34565835552985,1.0,16165.5,1.0,two_stage > method,,,,
crpto_robust,CRPTO robust,0.5156464260656085,0.17469595633222676,0.509262406732887,0.3849288681522012,0.6331595173105597,0.06920994818210602,1.1516845393925905,4000,-224.6227906767878,3.0,4117.0,1.0,two_stage > method,0.9293384235866059,0.9623395902033092,0.764155715329014,0.9003509420022164
