post_urn,post_url,label,source_url,resolved_url,status,title,error
urn:li:activity:7456960883634663424,https://www.linkedin.com/feed/update/urn:li:activity:7456960883634663424/,Ilia Ekhlakov,https://www.linkedin.com/in/ilia-ekhlakov/,https://www.linkedin.com/in/ilia-ekhlakov/,,,HTTPError: HTTP Error 404: Not Found
urn:li:activity:7456960883634663424,https://www.linkedin.com/feed/update/urn:li:activity:7456960883634663424/,https://lnkd.in/ds4bSxWU,https://lnkd.in/ds4bSxWU,https://www.linkedin.com/posts/ilia-ekhlakov_machinelearning-datascience-predicitvemodelling-activity-7403759873034752000-2Sif?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAi24j8BDeyrA2v49v1zdgxvmpNSr3_xGDU,200,#machinelearning #datascience #predicitvemodelling #gradientboosting #mltips #appliedml | Ilia Ekhlakov | 16 comments,
urn:li:activity:7449713105552482304,https://www.linkedin.com/feed/update/urn:li:activity:7449713105552482304/,https://lnkd.in/dFqRfdE8,https://lnkd.in/dFqRfdE8,https://lnkd.in/dFqRfdE8,200,LinkedIn,
urn:li:activity:7439581405879103488,https://www.linkedin.com/feed/update/urn:li:activity:7439581405879103488/,https://lnkd.in/d4Q7DUAX,https://lnkd.in/d4Q7DUAX,https://lnkd.in/d4Q7DUAX,200,LinkedIn,
urn:li:activity:7437407111698984960,https://www.linkedin.com/feed/update/urn:li:activity:7437407111698984960/,https://lnkd.in/dRWU88UA,https://lnkd.in/dRWU88UA,https://lnkd.in/dRWU88UA,200,LinkedIn,
urn:li:activity:7437407111698984960,https://www.linkedin.com/feed/update/urn:li:activity:7437407111698984960/,https://lnkd.in/dEamxnFj,https://lnkd.in/dEamxnFj,https://lnkd.in/dEamxnFj,200,LinkedIn,
urn:li:activity:7435378973288685568,https://www.linkedin.com/feed/update/urn:li:activity:7435378973288685568/,Data Demystified Summit,https://www.linkedin.com/company/data-demystified-summit/,https://uk.linkedin.com/showcase/data-demystified-summit/,200,Data Demystified Summit | LinkedIn,
urn:li:activity:7435378973288685568,https://www.linkedin.com/feed/update/urn:li:activity:7435378973288685568/,Piano,https://www.linkedin.com/company/piano-io/,https://www.linkedin.com/company/piano-io/,200,Piano | LinkedIn,
urn:li:activity:7434266280364498944,https://www.linkedin.com/feed/update/urn:li:activity:7434266280364498944/,Naeem Siddiqi,https://www.linkedin.com/in/naeem-siddiqi-9442815/,https://www.linkedin.com/in/naeem-siddiqi-9442815/,,,HTTPError: HTTP Error 404: Not Found
urn:li:activity:7434266280364498944,https://www.linkedin.com/feed/update/urn:li:activity:7434266280364498944/,Agus Sudjianto,https://www.linkedin.com/in/agus-sudjianto-76519619/,https://www.linkedin.com/in/agus-sudjianto-76519619/,,,HTTPError: HTTP Error 404: Not Found
urn:li:activity:7434266280364498944,https://www.linkedin.com/feed/update/urn:li:activity:7434266280364498944/,https://lnkd.in/dtNUi5FW,https://lnkd.in/dtNUi5FW,https://lnkd.in/dtNUi5FW,200,LinkedIn,
urn:li:activity:7434266280364498944,https://www.linkedin.com/feed/update/urn:li:activity:7434266280364498944/,https://lnkd.in/d4GaNKUA,https://lnkd.in/d4GaNKUA,https://lnkd.in/d4GaNKUA,200,LinkedIn,
urn:li:activity:7434266280364498944,https://www.linkedin.com/feed/update/urn:li:activity:7434266280364498944/,https://lnkd.in/dKE92dwU,https://lnkd.in/dKE92dwU,https://lnkd.in/dKE92dwU,200,LinkedIn,
urn:li:activity:7431246513466609664,https://www.linkedin.com/feed/update/urn:li:activity:7431246513466609664/,https://lnkd.in/daK5nfYM,https://lnkd.in/daK5nfYM,https://lnkd.in/daK5nfYM,200,LinkedIn,
urn:li:activity:7421824489165979649,https://www.linkedin.com/feed/update/urn:li:activity:7421824489165979649/,MLflow,https://www.linkedin.com/company/mlflow-org/,https://www.linkedin.com/company/mlflow-org/,200,MLflow | LinkedIn,
urn:li:activity:7421824489165979649,https://www.linkedin.com/feed/update/urn:li:activity:7421824489165979649/,Amazon SageMaker,https://www.linkedin.com/company/amazon-sagemaker/,https://www.linkedin.com/company/amazon-sagemaker/,200,Amazon SageMaker | LinkedIn,
