n,activity_id,post_url,capture_status,post_text_path,html_path,document_count,image_count,error
1,7458410505825685505,https://www.linkedin.com/feed/update/urn:li:activity:7458410505825685505/,captured_http_200_text/html,attachments/raw/7458410505825685505/post_text.txt,attachments/raw/7458410505825685505/post.html,0,2,
2,7456960883634663424,https://www.linkedin.com/feed/update/urn:li:activity:7456960883634663424/,captured_http_200_text/html,attachments/raw/7456960883634663424/post_text.txt,attachments/raw/7456960883634663424/post.html,0,2,
3,7454786558127161344,https://www.linkedin.com/feed/update/urn:li:activity:7454786558127161344/,captured_http_200_text/html,attachments/raw/7454786558127161344/post_text.txt,attachments/raw/7454786558127161344/post.html,1,1,
4,7452612214328537088,https://www.linkedin.com/feed/update/urn:li:activity:7452612214328537088/,captured_http_200_text/html,attachments/raw/7452612214328537088/post_text.txt,attachments/raw/7452612214328537088/post.html,0,2,
5,7449713105552482304,https://www.linkedin.com/feed/update/urn:li:activity:7449713105552482304/,captured_http_200_text/html,attachments/raw/7449713105552482304/post_text.txt,attachments/raw/7449713105552482304/post.html,0,2,
6,7439581405879103488,https://www.linkedin.com/feed/update/urn:li:activity:7439581405879103488/,captured_http_200_text/html,attachments/raw/7439581405879103488/post_text.txt,attachments/raw/7439581405879103488/post.html,0,2,
7,7437407111698984960,https://www.linkedin.com/feed/update/urn:li:activity:7437407111698984960/,captured_http_200_text/html,attachments/raw/7437407111698984960/post_text.txt,attachments/raw/7437407111698984960/post.html,0,1,
8,7436682459037089793,https://www.linkedin.com/feed/update/urn:li:activity:7436682459037089793/,captured_http_200_text/html,attachments/raw/7436682459037089793/post_text.txt,attachments/raw/7436682459037089793/post.html,1,1,
9,7435957418662207488,https://www.linkedin.com/feed/update/urn:li:activity:7435957418662207488/,captured_http_200_text/html,attachments/raw/7435957418662207488/post_text.txt,attachments/raw/7435957418662207488/post.html,0,1,
10,7435378973288685568,https://www.linkedin.com/feed/update/urn:li:activity:7435378973288685568/,captured_http_200_text/html,attachments/raw/7435378973288685568/post_text.txt,attachments/raw/7435378973288685568/post.html,0,2,
11,7434266280364498944,https://www.linkedin.com/feed/update/urn:li:activity:7434266280364498944/,captured_http_200_text/html,attachments/raw/7434266280364498944/post_text.txt,attachments/raw/7434266280364498944/post.html,0,0,
12,7431246513466609664,https://www.linkedin.com/feed/update/urn:li:activity:7431246513466609664/,captured_http_200_text/html,attachments/raw/7431246513466609664/post_text.txt,attachments/raw/7431246513466609664/post.html,0,0,
13,7429434643583725571,https://www.linkedin.com/feed/update/urn:li:activity:7429434643583725571/,captured_http_200_text/html,attachments/raw/7429434643583725571/post_text.txt,attachments/raw/7429434643583725571/post.html,0,1,
14,7426897722655277074,https://www.linkedin.com/feed/update/urn:li:activity:7426897722655277074/,captured_http_200_text/html,attachments/raw/7426897722655277074/post_text.txt,attachments/raw/7426897722655277074/post.html,1,1,
15,7423998736009375745,https://www.linkedin.com/feed/update/urn:li:activity:7423998736009375745/,captured_http_200_text/html,attachments/raw/7423998736009375745/post_text.txt,attachments/raw/7423998736009375745/post.html,0,3,
16,7421824489165979649,https://www.linkedin.com/feed/update/urn:li:activity:7421824489165979649/,captured_http_200_text/html,attachments/raw/7421824489165979649/post_text.txt,attachments/raw/7421824489165979649/post.html,1,1,
17,7421223494132314112,https://www.linkedin.com/feed/update/urn:li:activity:7421223494132314112/,captured_http_200_text/html,attachments/raw/7421223494132314112/post_text.txt,attachments/raw/7421223494132314112/post.html,0,4,
18,7419287581689008128,https://www.linkedin.com/feed/update/urn:li:activity:7419287581689008128/,captured_http_200_text/html,attachments/raw/7419287581689008128/post_text.txt,attachments/raw/7419287581689008128/post.html,1,1,
19,7417475730277670912,https://www.linkedin.com/feed/update/urn:li:activity:7417475730277670912/,captured_http_200_text/html,attachments/raw/7417475730277670912/post_text.txt,attachments/raw/7417475730277670912/post.html,0,2,
20,7416750932140552192,https://www.linkedin.com/feed/update/urn:li:activity:7416750932140552192/,captured_http_200_text/html,attachments/raw/7416750932140552192/post_text.txt,attachments/raw/7416750932140552192/post.html,1,1,
21,7413851823381598208,https://www.linkedin.com/feed/update/urn:li:activity:7413851823381598208/,captured_http_200_text/html,attachments/raw/7413851823381598208/post_text.txt,attachments/raw/7413851823381598208/post.html,0,1,
