method,method_display,mean_regret,std_regret,median_regret,q25_regret,q75_regret,min_regret,max_regret,n_observations,improvement_vs_two_stage_pct,auditability_score,wilcoxon_vs_two_stage_statistic,wilcoxon_vs_two_stage_pvalue,wilcoxon_alternative,coverage_90,coverage_95,avg_width_90,min_grade_coverage_90
spo_plus,SPO+,0.13062245966575575,0.050195989879116665,0.125320453196764,0.09455043077468872,0.16181934718042612,0.010006114840507507,0.32127685844898224,1250,55.7020123554558,1.0,780952.0,2.6241784391194047e-205,two_stage > method,,,,
two_stage,Two-stage Ridge,0.2948722214447218,0.08619161884206637,0.2883656909689307,0.2323394352570176,0.3535349671728909,0.08288878947496414,0.5979657685384154,1250,0.0,1.0,,,baseline,,,,
crpto_robust,CRPTO robust,0.9184318879869389,0.19285564485320839,0.9183485082467087,0.7910093759419397,1.0495116726960987,0.2977330479770899,1.5011400198563933,1250,-211.46775419278856,3.0,0.0,1.0,two_stage > method,0.9293384235866059,0.9623395902033092,0.764155715329014,0.9003509420022164
