method,method_display,mean_regret,std_regret,median_regret,q25_regret,q75_regret,min_regret,max_regret,n_observations,improvement_vs_two_stage_pct,auditability_score,wilcoxon_vs_two_stage_statistic,wilcoxon_vs_two_stage_pvalue,wilcoxon_alternative,coverage_90,coverage_95,avg_width_90,min_grade_coverage_90
spo_plus,SPO+,0.18436618050080142,0.06147111969260284,0.17993361689150333,0.141457780264318,0.2232047151774168,0.04743790999054909,0.39396079257130623,1000,48.51149804244712,1.0,498684.0,3.804537009739543e-163,two_stage > method,,,,
two_stage,Two-stage Ridge,0.35807252877139034,0.10274736991391424,0.3512137042125687,0.2849451624788344,0.4285072763450444,0.08942202478647232,0.6891158074140549,1000,0.0,1.0,,,baseline,,,,
crpto_robust,CRPTO robust,0.91790858522079,0.19386371465363636,0.9174997832160443,0.7860851497389376,1.0505854415532667,0.39456573966890574,1.484108954668045,1000,-156.34711124219,3.0,37.0,1.0,two_stage > method,0.9293384235866059,0.9623395902033092,0.764155715329014,0.9003509420022164
