activity_id,post_url,date,author,post_type,attachment_type,capture_status,completeness_status,blocker_or_next_action,source_status
7455503720936693760,https://www.linkedin.com/posts/andrija-djurovic_creditrisk-irb-ifrs9-activity-7455503720936693760-X4vC,,Andrija Djurovic,linkedin_activity_post,external_links,public_permalink_captured,partial_post_text_captured_no_media,Read extracted post text/assets and write concept-level Spanish analytic memo.,public_linkedin_seed
7443560044412968960,https://www.linkedin.com/posts/andrija-djurovic_irb-ifrs9-pd-activity-7443560044412968960-P7Wf,,Andrija Djurovic,linkedin_activity_post,external_links,public_permalink_captured,partial_post_text_captured_no_media,Read extracted post text/assets and write concept-level Spanish analytic memo.,public_linkedin_seed
7461301929135022080,https://www.linkedin.com/posts/andrija-djurovic_pdbacktestingmpat-activity-7461301929135022080-ZWpE,,Andrija Djurovic,linkedin_activity_post,linkedin_document_deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,public_linkedin_seed
7458765378664427520,https://www.linkedin.com/posts/andrija-djurovic_rfpdtbinteractions-activity-7458765378664427520-26OI,,Andrija Djurovic,linkedin_activity_post,linkedin_document_deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,public_linkedin_seed
7453691768476405760,https://www.linkedin.com/posts/andrija-djurovic_nttypeierror-activity-7453691768476405760-wjws,,Andrija Djurovic,linkedin_activity_post,linkedin_document_deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,public_linkedin_seed
7451153797881618432,https://www.linkedin.com/posts/andrija-djurovic_smipymanual-activity-7451153797881618432-tf0b,,Andrija Djurovic,linkedin_activity_post,linkedin_document_deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,public_linkedin_seed
7448618361606873088,https://www.linkedin.com/posts/andrija-djurovic_lgdeadsomersdandconservatism-activity-7448618361606873088-godV,,Andrija Djurovic,linkedin_activity_post,linkedin_document_deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,public_linkedin_seed
7446081646761738240,https://www.linkedin.com/posts/andrija-djurovic_pdmoccegimimpact-activity-7446081646761738240-U3Tc,,Andrija Djurovic,linkedin_activity_post,linkedin_document_deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,public_linkedin_seed
7441019641449050113,https://www.linkedin.com/posts/andrija-djurovic_2sidedexactbinomialtest-activity-7441019641449050113-ZZ-g,,Andrija Djurovic,linkedin_activity_post,linkedin_document_deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,public_linkedin_seed
7463579851317239808,https://www.linkedin.com/posts/andrija-djurovic_activity-7463579851317239808-vGpI,,Andrija Djurovic,linkedin_activity_post,unknown_pending_capture,public_permalink_capture_error,seed_only_pending_public_permalink_capture,HTTPError: HTTP Error 429: Too Many Requests,public_linkedin_seed
