n,activity_id,post_url,status,final_url,content_type,post_text_length,visible_comment_count,external_link_count,error
1,7455503720936693760,https://www.linkedin.com/posts/andrija-djurovic_creditrisk-irb-ifrs9-activity-7455503720936693760-X4vC,200,https://www.linkedin.com/posts/andrija-djurovic_creditrisk-irb-ifrs9-activity-7455503720936693760-X4vC,text/html; charset=utf-8,1684,3,12,
2,7443560044412968960,https://www.linkedin.com/posts/andrija-djurovic_irb-ifrs9-pd-activity-7443560044412968960-P7Wf,200,https://www.linkedin.com/posts/andrija-djurovic_irb-ifrs9-pd-activity-7443560044412968960-P7Wf,text/html; charset=utf-8,2294,9,10,
3,7461301929135022080,https://www.linkedin.com/posts/andrija-djurovic_pdbacktestingmpat-activity-7461301929135022080-ZWpE,200,https://www.linkedin.com/posts/andrija-djurovic_pdbacktestingmpat-activity-7461301929135022080-ZWpE,text/html; charset=utf-8,1990,0,0,
4,7458765378664427520,https://www.linkedin.com/posts/andrija-djurovic_rfpdtbinteractions-activity-7458765378664427520-26OI,200,https://www.linkedin.com/posts/andrija-djurovic_rfpdtbinteractions-activity-7458765378664427520-26OI,text/html; charset=utf-8,1447,3,0,
5,7453691768476405760,https://www.linkedin.com/posts/andrija-djurovic_nttypeierror-activity-7453691768476405760-wjws,200,https://www.linkedin.com/posts/andrija-djurovic_nttypeierror-activity-7453691768476405760-wjws,text/html; charset=utf-8,1559,2,0,
6,7451153797881618432,https://www.linkedin.com/posts/andrija-djurovic_smipymanual-activity-7451153797881618432-tf0b,200,https://www.linkedin.com/posts/andrija-djurovic_smipymanual-activity-7451153797881618432-tf0b,text/html; charset=utf-8,1115,0,1,
7,7448618361606873088,https://www.linkedin.com/posts/andrija-djurovic_lgdeadsomersdandconservatism-activity-7448618361606873088-godV,200,https://www.linkedin.com/posts/andrija-djurovic_lgdeadsomersdandconservatism-activity-7448618361606873088-godV,text/html; charset=utf-8,1562,2,1,
8,7446081646761738240,https://www.linkedin.com/posts/andrija-djurovic_pdmoccegimimpact-activity-7446081646761738240-U3Tc,200,https://www.linkedin.com/posts/andrija-djurovic_pdmoccegimimpact-activity-7446081646761738240-U3Tc,text/html; charset=utf-8,1712,3,0,
9,7441019641449050113,https://www.linkedin.com/posts/andrija-djurovic_2sidedexactbinomialtest-activity-7441019641449050113-ZZ-g,200,https://www.linkedin.com/posts/andrija-djurovic_2sidedexactbinomialtest-activity-7441019641449050113-ZZ-g,text/html; charset=utf-8,1597,4,0,
10,7463579851317239808,https://www.linkedin.com/posts/andrija-djurovic_activity-7463579851317239808-vGpI,,,,0,0,0,HTTPError: HTTP Error 429: Too Many Requests
11,7462756612538073090,https://www.linkedin.com/posts/andrija-djurovic_activity-7462756612538073090--Doz,,,,0,0,0,HTTPError: HTTP Error 429: Too Many Requests
12,6965364290866282496,https://fr.linkedin.com/posts/andrija-djurovic_python-r-rstats-activity-6965364290866282496-JXRW,200,https://fr.linkedin.com/posts/andrija-djurovic_python-r-rstats-activity-6965364290866282496-JXRW,text/html; charset=utf-8,537,0,2,
13,7392821942728273920,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%88%F0%9D%90%85%F0%9D%90%91%F0%9D%90%92%F0%9D%9F%97-%F0%9D%90%85%F0%9D%90%A8%F0%9D%90%AB%F0%9D%90%B0%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%9D-%F0%9D%90%8B%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0-activity-7392821942728273920-sYiG,200,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%88%F0%9D%90%85%F0%9D%90%91%F0%9D%90%92%F0%9D%9F%97-%F0%9D%90%85%F0%9D%90%A8%F0%9D%90%AB%F0%9D%90%B0%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%9D-%F0%9D%90%8B%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0-activity-7392821942728273920-sYiG,text/html; charset=utf-8,2230,10,10,
14,7435946096050339840,https://www.linkedin.com/posts/andrija-djurovic_modelbasedpdratingscalecalibration-activity-7435946096050339840-VDj7,200,https://www.linkedin.com/posts/andrija-djurovic_modelbasedpdratingscalecalibration-activity-7435946096050339840-VDj7,text/html; charset=utf-8,1955,0,0,
15,7330472362141761538,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%91-%F0%9D%90%88%F0%9D%90%91%F0%9D%90%81-%F0%9D%90%AD%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A5%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%AD-my-r-irb-toolkit-activity-7330472362141761538-5UJ8,200,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%91-%F0%9D%90%88%F0%9D%90%91%F0%9D%90%81-%F0%9D%90%AD%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A5%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%AD-my-r-irb-toolkit-activity-7330472362141761538-5UJ8,text/html; charset=utf-8,1050,3,1,
16,7112329977517215745,https://www.linkedin.com/posts/andrija-djurovic_probability-of-default-rating-modeling-with-activity-7112329977517215745-eeri,200,https://www.linkedin.com/posts/andrija-djurovic_probability-of-default-rating-modeling-with-activity-7112329977517215745-eeri,text/html; charset=utf-8,1932,2,1,
17,7420725800745754625,https://www.linkedin.com/posts/andrija-djurovic_creditrisk-irb-ifrs9-activity-7420725800745754625-CRhr,200,https://www.linkedin.com/posts/andrija-djurovic_creditrisk-irb-ifrs9-activity-7420725800745754625-CRhr,text/html; charset=utf-8,1816,1,11,
18,6886388764965392384,https://www.linkedin.com/posts/andrija-djurovic_github-andrija-djurovicpdtoolkit-collection-activity-6886388764965392384-fZDY,200,https://www.linkedin.com/posts/andrija-djurovic_github-andrija-djurovicpdtoolkit-collection-activity-6886388764965392384-fZDY,text/html; charset=utf-8,1431,5,2,
19,7163079427961090049,https://www.linkedin.com/posts/andrija-djurovic_i-have-created-a-github-repository-dedicated-activity-7163079427961090049-iXzW,200,https://www.linkedin.com/posts/andrija-djurovic_i-have-created-a-github-repository-dedicated-activity-7163079427961090049-iXzW,text/html; charset=utf-8,652,4,1,
20,7342064984069173248,https://www.linkedin.com/posts/andrija-djurovic_our-paper-drifts-shifts-and-instabilities-activity-7342064984069173248-DTrS,200,https://www.linkedin.com/posts/andrija-djurovic_our-paper-drifts-shifts-and-instabilities-activity-7342064984069173248-DTrS,text/html; charset=utf-8,1375,8,5,
21,7296422990588579840,https://www.linkedin.com/posts/andrija-djurovic_woeencodinginstability-activity-7296422990588579840-7lwj,200,https://www.linkedin.com/posts/andrija-djurovic_woeencodinginstability-activity-7296422990588579840-7lwj,text/html; charset=utf-8,836,10,1,
