article_id,source_url,title,parent_activity_id,capture_status,final_url,local_html_path,local_text_path,text_length,image_count,error
irb-models-uncertainty-conformal-inference-andrija-djurovic,https://www.linkedin.com/pulse/irb-models-uncertainty-conformal-inference-andrija-djurovic,IRB models uncertainty and conformal inference,,captured_http_200_text/html,https://www.linkedin.com/pulse/irb-models-uncertainty-conformal-inference-andrija-djurovic,articles/raw/irb-models-uncertainty-conformal-inference-andrija-djurovic/article.html,articles/raw/irb-models-uncertainty-conformal-inference-andrija-djurovic/article_text.txt,4202,13,
irb-model-calibration-andrija-djurovic,https://www.linkedin.com/pulse/irb-model-calibration-andrija-djurovic,IRB model calibration,,captured_http_200_text/html,https://www.linkedin.com/pulse/irb-model-calibration-andrija-djurovic,articles/raw/irb-model-calibration-andrija-djurovic/article.html,articles/raw/irb-model-calibration-andrija-djurovic/article_text.txt,4000,9,
selective-use-machine-learning-irb-models-andrija-djurovic,https://www.linkedin.com/pulse/selective-use-machine-learning-irb-models-andrija-djurovic,Selective use of machine learning for IRB models,,captured_http_200_text/html,https://www.linkedin.com/pulse/selective-use-machine-learning-irb-models-andrija-djurovic,articles/raw/selective-use-machine-learning-irb-models-andrija-djurovic/article.html,articles/raw/selective-use-machine-learning-irb-models-andrija-djurovic/article_text.txt,5498,13,
machine-learning-irb-models-andrija-djurovic,https://www.linkedin.com/pulse/machine-learning-irb-models-andrija-djurovic,Machine learning for IRB models,,captured_http_200_text/html,https://www.linkedin.com/pulse/machine-learning-irb-models-andrija-djurovic,articles/raw/machine-learning-irb-models-andrija-djurovic/article.html,articles/raw/machine-learning-irb-models-andrija-djurovic/article_text.txt,5642,13,
