link_asset_id,parent_activity_id,parent_post_number,source_url,canonical_url,http_status,source_type,access_status,title,local_html_path,local_text_path,local_binary_path,checksum,handling_decision,claim_use_rule,stop_condition,error
7455503720936693760_external_01,7455503720936693760,1,https://lnkd.in/dm2p5UNv,https://github.com/andrija-djurovic/adsfcr,200,github,reachable,GitHub - andrija-djurovic/adsfcr: Applied Data Science for Credit Risk,external_sources/raw/7455503720936693760_external_01/source.html,external_sources/raw/7455503720936693760_external_01/source_text.txt,,141f7dd998a390a7e1c7f231aa72ef726bb046f049140c550182ba06a5ba0b7c,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",
7455503720936693760_external_02,7455503720936693760,1,https://lnkd.in/dhufwehR,https://github.com/andrija-djurovic/adsfcr/blob/main/model_dev_and_vld/fli_smi.pdf,200,github,reachable,,,,external_sources/raw/7455503720936693760_external_02/7455503720936693760_external_02.pdf,bc1bf1aac3d700fcdc5bbaf59db4324fe2cf499e34c1227df66018b1b00ff895,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",
7455503720936693760_external_03,7455503720936693760,1,https://lnkd.in/drTegZXJ,https://github.com/andrija-djurovic/adsfcr/blob/main/model_dev_and_vld/smi_r/smi_r_manual.pdf,200,github,reachable,,,,external_sources/raw/7455503720936693760_external_03/7455503720936693760_external_03.pdf,db51372f7566a488aa01b80e20c9b916bd638065221783f2b102511945ca82d7,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",
7455503720936693760_external_04,7455503720936693760,1,https://lnkd.in/dqcHHr4N,https://github.com/andrija-djurovic/adsfcr/blob/main/model_dev_and_vld/cat_rf_bin.pdf,200,github,reachable,,,,external_sources/raw/7455503720936693760_external_04/7455503720936693760_external_04.pdf,2f3e23a67e5571210c70e4e9a191577f6135ab7c6b2ae1dc64949f90889f63f4,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",
7455503720936693760_external_05,7455503720936693760,1,https://lnkd.in/dRhegAMV,https://github.com/andrija-djurovic/adsfcr/blob/main/mrm/representativeness_c2st.pdf,200,github,reachable,,,,external_sources/raw/7455503720936693760_external_05/7455503720936693760_external_05.pdf,4bd94a90d4b86d3effce8d0ddce522914176dd9526e0193e8967cd45dec8ab37,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",
7455503720936693760_external_06,7455503720936693760,1,https://lnkd.in/dJegGCfS,https://github.com/andrija-djurovic/adsfcr/blob/main/model_dev_and_vld/cont_target_woe_equivalent.pdf,200,github,target_resolution_only_fetch_blocked,,,,external_sources/raw/7455503720936693760_external_06/7455503720936693760_external_06.pdf,5d14bf2d80c4ab818d1572ac2f2ac8fdf5f629edd47a51ab6db8e0aefcd38e38,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",HTTPError: HTTP Error 429: Too Many Requests
7455503720936693760_external_07,7455503720936693760,1,https://lnkd.in/d3A3QYYa,https://github.com/andrija-djurovic/adsfcr/blob/main/mrm/ols_and_mte_instability.pdf,200,github,reachable,,,,external_sources/raw/7455503720936693760_external_07/7455503720936693760_external_07.pdf,0817cf5f2b74ef074862ed5dbb78d6dc729265e538925226d28115534e8a24ca,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",
7455503720936693760_external_08,7455503720936693760,1,https://lnkd.in/dv4yCu2k,https://github.com/andrija-djurovic/adsfcr/blob/main/mrm/heterogeneity.pdf,200,github,reachable,,,,external_sources/raw/7455503720936693760_external_08/7455503720936693760_external_08.pdf,6696f56c952ad23544f5c5413e4896dd4c2cda2f1a2908285415adf7cdbccca6,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",
7455503720936693760_external_09,7455503720936693760,1,https://lnkd.in/ddr-yi5Q,https://github.com/andrija-djurovic/adsfcr/blob/main/mrm/lgd_ccf_dp_somersd_dxy_dyx.pdf,200,github,target_resolution_only_fetch_blocked,,,,external_sources/raw/7455503720936693760_external_09/7455503720936693760_external_09.pdf,9ec4ecc5c873785ec0043dedd162dccb742384951d2c71a73fc70601627f5521,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",HTTPError: HTTP Error 429: Too Many Requests
7455503720936693760_external_10,7455503720936693760,1,https://lnkd.in/d_CcHWXx,https://github.com/andrija-djurovic/adsfcr/blob/main/risk_quantification/pd_drs_calibration.pdf,200,github,reachable,,,,external_sources/raw/7455503720936693760_external_10/7455503720936693760_external_10.pdf,6292778dd90ad0dad7bc7b95b821ecb6b5275092933e10e5eed9c8815365f8c6,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",
