activity_id,asset_id,asset_type,source_url,local_path,page_or_slide_count,ocr_status,checksum,text_extract_status,analytic_memo
7446081646761738240,7446081646761738240_document_transcript_01,linkedin_document_transcript,https://media.licdn.com/dms/document/media/v2/D4D1FAQFQ86bpUAiQzA/feedshare-document-transcript/B4DZ1KuFVpKIA0-/0/1775075089241?e=1780531200&v=beta&t=PQhkQu9F3MPRz8-wbev1ehia-A30Jse5Sy4L-P-FISk,attachments/raw/7446081646761738240/document_transcript_01.txt,13,not_needed_linkedin_transcript,e60103cf810ed62328855bc90536099d51793925103e123d5704bb68f83a837b,transcript_captured,Text sidecar available: attachments/raw/7446081646761738240/document_transcript_01.txt
7446081646761738240,7446081646761738240_primary,linkedin_document_pdf,https://media.licdn.com/dms/document/media/v2/D4D1FAQFQ86bpUAiQzA/feedshare-document-pdf-analyzed/B4DZ1KuFVpKIAY-/0/1775075089241?e=1780531200&v=beta&t=i1P6su9KHu_wfgTQxl6DPeyxIA5vdfS30-PcGAbNQ7Y,attachments/raw/7446081646761738240/document_01.pdf,13,not_needed_pdf_text_layer,2532b5d9734f4a8dbd732460776e7688b5e3809cfe1339cc2a0c2975b36d3cd0,pdf_text_extracted_pdftotext,Extracted text path: attachments/extracted/7446081646761738240_primary.txt
7441019641449050113,7441019641449050113_document_transcript_01,linkedin_document_transcript,https://media.licdn.com/dms/document/media/v2/D4D1FAQHhy9paWv78fg/feedshare-document-transcript/B4DZ0E7TreGcA0-/0/1773904150583?e=1780531200&v=beta&t=vJoGW4krATKYfxWk7FCisiuIKu7MMFce08LkkxllaLo,attachments/raw/7441019641449050113/document_transcript_01.txt,8,not_needed_linkedin_transcript,37b821df665e16a39d15c383ea85bba943f89d7907cdbfb15582a8a25195a6dc,transcript_captured,Text sidecar available: attachments/raw/7441019641449050113/document_transcript_01.txt
7441019641449050113,7441019641449050113_primary,linkedin_document_pdf,https://media.licdn.com/dms/document/media/v2/D4D1FAQHhy9paWv78fg/feedshare-document-pdf-analyzed/B4DZ0E7TreGcAY-/0/1773904150583?e=1780531200&v=beta&t=Ru-unidvskCl87Gf0P6MGtFmHx15wzLy9QwmDC1W7V8,attachments/raw/7441019641449050113/document_01.pdf,8,not_needed_pdf_text_layer,7f8fefa965d6d15f318939733f08654bd77b9ff4ff02c1b32cbfb6d5249b2f5e,pdf_text_extracted_pdftotext,Extracted text path: attachments/extracted/7441019641449050113_primary.txt
6965364290866282496,6965364290866282496_primary,linkedin_post_text_only,https://fr.linkedin.com/posts/andrija-djurovic_python-r-rstats-activity-6965364290866282496-JXRW,attachments/raw/6965364290866282496/post_text.txt,,not_applicable,9796b55b7f8d3e49277511dd5432634e9e3694a259b397fbf4af82a07270799b,post_text_captured_no_media_found,Text sidecar available: attachments/raw/6965364290866282496/post_text.txt
7392821942728273920,7392821942728273920_primary,linkedin_post_text_only,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%88%F0%9D%90%85%F0%9D%90%91%F0%9D%90%92%F0%9D%9F%97-%F0%9D%90%85%F0%9D%90%A8%F0%9D%90%AB%F0%9D%90%B0%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%9D-%F0%9D%90%8B%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0-activity-7392821942728273920-sYiG,attachments/raw/7392821942728273920/post_text.txt,,not_applicable,1d4acf0007a6c082f144de134af82d662d1c6d331ea2afd2159747a99136c5ed,post_text_captured_no_media_found,Text sidecar available: attachments/raw/7392821942728273920/post_text.txt
7435946096050339840,7435946096050339840_document_transcript_01,linkedin_document_transcript,https://media.licdn.com/dms/document/media/v2/D4D1FAQGVCz1qxXAL4A/feedshare-document-transcript/B4DZy9kBvjKYA4-/0/1772706865600?e=1780531200&v=beta&t=oO3vM8TJHFn3Z8hJw5tuQOPAFPB5naZ1f4VNe1RP9jQ,attachments/raw/7435946096050339840/document_transcript_01.txt,11,not_needed_linkedin_transcript,057f9e3c0984de411452394b3752b8c85b147af217e471aede21e995f370e8d1,transcript_captured,Text sidecar available: attachments/raw/7435946096050339840/document_transcript_01.txt
7435946096050339840,7435946096050339840_primary,linkedin_document_pdf,https://media.licdn.com/dms/document/media/v2/D4D1FAQGVCz1qxXAL4A/feedshare-document-pdf-analyzed/B4DZy9kBvjKYAc-/0/1772706865600?e=1780531200&v=beta&t=-Ni1U8klvvj2W-3FsSMFp_x0IJtfS3AetyveeeeZ3Tc,attachments/raw/7435946096050339840/document_01.pdf,11,not_needed_pdf_text_layer,3fd4f9f8666efa71ff85fced408157dc80560d60f1f0c83f361e08bd28c1195e,pdf_text_extracted_pdftotext,Extracted text path: attachments/extracted/7435946096050339840_primary.txt
7330472362141761538,7330472362141761538_primary,linkedin_post_text_only,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%91-%F0%9D%90%88%F0%9D%90%91%F0%9D%90%81-%F0%9D%90%AD%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A5%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%AD-my-r-irb-toolkit-activity-7330472362141761538-5UJ8,attachments/raw/7330472362141761538/post_text.txt,,not_applicable,3bfbae27d320fbe0a93ae72077e83482cac45dc4eabf7ae4dab6a2eacdcd12f7,post_text_captured_no_media_found,Text sidecar available: attachments/raw/7330472362141761538/post_text.txt
7112329977517215745,7112329977517215745_primary,linkedin_post_text_only,https://www.linkedin.com/posts/andrija-djurovic_probability-of-default-rating-modeling-with-activity-7112329977517215745-eeri,attachments/raw/7112329977517215745/post_text.txt,,not_applicable,16bbda0ac27419b3c46c114c29058b6675ecf03ff7729f72d90e053aff77da5b,post_text_captured_no_media_found,Text sidecar available: attachments/raw/7112329977517215745/post_text.txt
7420725800745754625,7420725800745754625_image_01,linkedin_feedshare_image,https://media.licdn.com/dms/image/v2/D4D22AQG1VsnIq4KOhA/feedshare-shrink_800/B4DZvbZl7iIAAg-/0/1768912478082?e=2147483647&v=beta&t=iztv5PI22tGD7sB8zklNcLieIrEcIDnYqU_UB50NReA,attachments/raw/7420725800745754625/image_01.jpg,1 image (582x732),ocr_tool_missing,aa6fe9a99278d237c917fe071824740a591ad65a88d9b27acd5cd7a874f82b86,image_ocr_attempted,OCR/text path: attachments/extracted/7420725800745754625_image_01.txt
7420725800745754625,7420725800745754625_primary,linkedin_image_carousel,https://media.licdn.com/dms/image/v2/D4D22AQG1VsnIq4KOhA/feedshare-shrink_800/B4DZvbZl7iIAAg-/0/1768912478082?e=2147483647&v=beta&t=iztv5PI22tGD7sB8zklNcLieIrEcIDnYqU_UB50NReA,attachments/raw/7420725800745754625/image_01.jpg,1 image (582x732),ocr_tool_missing,aa6fe9a99278d237c917fe071824740a591ad65a88d9b27acd5cd7a874f82b86,image_ocr_attempted,OCR/text path: attachments/extracted/7420725800745754625_primary.txt
6886388764965392384,6886388764965392384_primary,linkedin_post_text_only,https://www.linkedin.com/posts/andrija-djurovic_github-andrija-djurovicpdtoolkit-collection-activity-6886388764965392384-fZDY,attachments/raw/6886388764965392384/post_text.txt,,not_applicable,a507a022714d3132390812d2f0eab97caa59303ed35da616551b84c4d5e2aca5,post_text_captured_no_media_found,Text sidecar available: attachments/raw/6886388764965392384/post_text.txt
7163079427961090049,7163079427961090049_primary,linkedin_post_text_only,https://www.linkedin.com/posts/andrija-djurovic_i-have-created-a-github-repository-dedicated-activity-7163079427961090049-iXzW,attachments/raw/7163079427961090049/post_text.txt,,not_applicable,5e97cacb60ccf31c4e76ab55fab7d5a992069c826db306637fdbe8de97c23f48,post_text_captured_no_media_found,Text sidecar available: attachments/raw/7163079427961090049/post_text.txt
7342064984069173248,7342064984069173248_image_01,linkedin_feedshare_image,https://media.licdn.com/dms/image/v2/D4D22AQF_Qgq0qECnUA/feedshare-shrink_800/B4DZdojwYIGsAs-/0/1749805894077?e=2147483647&v=beta&t=aBgICRkg_coxtCwOrLLOMZ0PqznQyjv2-pNhm5W6uIY,attachments/raw/7342064984069173248/image_01.jpg,1 image (800x418),ocr_tool_missing,6c1d88944309d4602e11bcae1c837222189bd39017b4b807f9d9f542afbf7274,image_ocr_attempted,OCR/text path: attachments/extracted/7342064984069173248_image_01.txt
7342064984069173248,7342064984069173248_primary,linkedin_image_carousel,https://media.licdn.com/dms/image/v2/D4D22AQF_Qgq0qECnUA/feedshare-shrink_800/B4DZdojwYIGsAs-/0/1749805894077?e=2147483647&v=beta&t=aBgICRkg_coxtCwOrLLOMZ0PqznQyjv2-pNhm5W6uIY,attachments/raw/7342064984069173248/image_01.jpg,1 image (800x418),ocr_tool_missing,6c1d88944309d4602e11bcae1c837222189bd39017b4b807f9d9f542afbf7274,image_ocr_attempted,OCR/text path: attachments/extracted/7342064984069173248_primary.txt
7296422990588579840,7296422990588579840_document_transcript_01,linkedin_document_transcript,https://media.licdn.com/dms/document/media/v2/D4D1FAQFFp1-NerM69w/feedshare-document-transcript/B4DZUAI3pAHAA4-/0/1739464083633?e=1780531200&v=beta&t=phDGWiP8uOPAtyPjcD1GzbfUSmJit3AeuoB-DTSl0ds,attachments/raw/7296422990588579840/document_transcript_01.txt,8,not_needed_linkedin_transcript,8cf3f99a19cf9e28935d913a35cb5057bcaaf74107082a759d02c40565c3e001,transcript_captured,Text sidecar available: attachments/raw/7296422990588579840/document_transcript_01.txt
7296422990588579840,7296422990588579840_primary,linkedin_document_pdf,https://media.licdn.com/dms/document/media/v2/D4D1FAQFFp1-NerM69w/feedshare-document-pdf-analyzed/B4DZUAI3pAHAAY-/0/1739464083633?e=1780531200&v=beta&t=NzmujPtTwyfroW1czrzC36pNqvy1xPBUCD0Ll1taGkU,attachments/raw/7296422990588579840/document_01.pdf,8,not_needed_pdf_text_layer,e5be8161bef44d9a3f7d95db04145de7f8b43b78efcfcd2a8e2e076ff7466ccc,pdf_text_extracted_pdftotext,Extracted text path: attachments/extracted/7296422990588579840_primary.txt
