run_label,tier,decision_read,candidate_rank,shortlist_bucket,policy_mode,risk_tolerance,gamma,delta_cap_quantile,tail_focus_quantile,uncertainty_aversion,realized_total_return,return_delta_vs_champion,alpha01_weighted_miscoverage_V,alpha01_gamma_cp,alpha01_violation,alpha01_empirical_coverage_funded,n_funded
paper1_bound_pareto_nextwave_2026_05_25_r4__grade_cal_sqrt_a0090__portfolio_probe_50k,best_return,append_or_park,220,family::blended_uncertainty,blended_uncertainty,0.175,0.275,1.0,1.0,0.0,121840.36530029576,-48624.177628166944,0.070075,0.274406,0.0,0.9409,206.0
paper1_bound_pareto_nextwave_2026_05_25_r4__grade_cal_sqrt_a0090__portfolio_probe_50k,best_V,append_or_park,148,conservative_proxy,capped_blended_uncertainty,0.175,0.375,0.7,1.0,0.0,110771.62230383788,-59692.92062462482,0.069319,0.235397,0.0,0.9423,209.0
paper1_bound_pareto_nextwave_2026_05_25_r4__grade_cal_sqrt_a0090__portfolio_probe_50k,best_Gamma,append_or_park,126,conservative_proxy,capped_blended_uncertainty,0.175,0.375,0.6,1.0,0.2,111554.49869380923,-58910.04423465347,0.079075,0.232434,0.0,0.9366,202.0
paper1_bound_pareto_nextwave_2026_05_25_r4__score8_cal_none_a010__portfolio_probe_50k_fallback,best_return,append_or_park,1,return_global,capped_blended_uncertainty,0.19,0.35,0.7,1.0,0.15,164410.34898475528,-6054.193943707418,0.07915,0.236299,0.0,0.936,256.0
paper1_bound_pareto_nextwave_2026_05_25_r4__score8_cal_none_a010__portfolio_probe_50k_fallback,best_V,append_or_park,122,conservative_proxy,capped_blended_uncertainty,0.175,0.375,0.9,1.0,0.2,158921.36264029544,-11543.180288167263,0.05675,0.202645,0.0,0.9531,258.0
paper1_bound_pareto_nextwave_2026_05_25_r4__score8_cal_none_a010__portfolio_probe_50k_fallback,best_Gamma,append_or_park,122,conservative_proxy,capped_blended_uncertainty,0.175,0.375,0.9,1.0,0.2,158921.36264029544,-11543.180288167263,0.05675,0.202645,0.0,0.9531,258.0
paper1_bound_pareto_nextwave_2026_05_25_r4__score8_raw_sqrt_a010__portfolio_probe_50k,best_return,append_or_park,1,return_global,capped_blended_uncertainty,0.195,0.325,0.8,1.0,0.15,157405.5622381734,-13058.980690289289,0.084644,0.265137,0.0,0.9323,255.0
paper1_bound_pareto_nextwave_2026_05_25_r4__score8_raw_sqrt_a010__portfolio_probe_50k,best_V,append_or_park,141,conservative_proxy,capped_blended_uncertainty,0.175,0.375,0.6,1.0,0.2,143133.58131883945,-27330.96160962325,0.0522,0.21067,0.0,0.9643,250.0
paper1_bound_pareto_nextwave_2026_05_25_r4__score8_raw_sqrt_a010__portfolio_probe_50k,best_Gamma,append_or_park,141,conservative_proxy,capped_blended_uncertainty,0.175,0.375,0.6,1.0,0.2,143133.58131883945,-27330.96160962325,0.0522,0.21067,0.0,0.9643,250.0
