risk_tolerance,baseline_nonrobust_return,best_robust_return,best_robust_lambda,best_robust_min_budget_utilization,best_robust_pd_cap_slack_penalty,best_robust_pd_cap_slack,best_robust_worst_pd,best_robust_funded,baseline_nonrobust_funded,price_of_robustness,price_of_robustness_pct
0.05,97495.45345300008,58595.26295240861,0.0,0.05,1.5,0.0,0.05,116,202,38900.190500591474,39.89949184547894
0.06,104391.90795534098,61631.56546582556,0.0,0.05,1.5,0.0,0.06,123,203,42760.342489515424,40.961357375898096
0.08,117598.41265894531,67008.82502462358,0.0,0.05,1.5,0.0,0.07999999999999999,126,206,50589.587634321724,43.01893749247249
0.1,129412.58196827717,71875.10655839389,0.0,0.05,1.5,0.0,0.09999999999999999,134,212,57537.47540988328,44.46049567540721
0.12,140206.39751511387,76214.12250143598,0.0,0.05,1.5,0.0,0.12000000000000001,141,226,63992.27501367789,45.64148009460359
0.14,149393.6561540807,80101.61306823842,0.0,0.0,0.0,0.0,0.14,150,238,69292.04308584228,46.38218574282194
