metric,value
pd_auc,0.7129967525110764
coverage_90,0.9251848347052216
coverage_95,0.9593201116773636
avg_width_90,0.7545805465617317
robust_return,183071.3499921966
nonrobust_return,3.88537264920913e-11
price_of_robustness,-183071.34999219657
